nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
AMA 12H BORACEA - DR. LUIZ BACCALA,Assistência Médica Ambulatorial,Municipal,"R. DR. RIBEIRO DE ALMEIDA, 14",BARRA FUNDA,01137-020,4210-5396 / 3392-1944,-46.6515,-23.52471601,Santa Cecília
AMA 12H COMPLEXO PRATES,Assistência Médica Ambulatorial,Municipal,"R. PRATES, 1101",BOM RETIRO,01121-000,3229-8192,-46.634461,-23.52365602,Bom Retiro
AMA 12H JARDIM PERI PERI,Assistência Médica Ambulatorial,Municipal,"R. JOÃO GUERRA, 247",JD PERI PERI,05535-100,3744-3021 / 3744-3082,-46.732112,-23.58660001,Butantã
AMA 12H JARDIM SÃO LUIZ,Assistência Médica Ambulatorial,Municipal,"R. LUIZ ANTONIO VERNEY, 98",JD SÃO LUIZ,05846-380,5511-1153 / 5816-5539,-46.743734,-23.66074201,Jardim São Luís
AMA 12H MAURICE PATE,Assistência Médica Ambulatorial,Municipal,"R. FREI GERMANO, 50",PENHA,03604-050,2097-5802,-46.550769,-23.52670001,Penha
AMA 12H PRESIDENTE JUSCELINO KUBITSCHEK,Assistência Médica Ambulatorial,Municipal,"AV. UTARO KANAI, 286",COHAB PRESIDENTE JUSCELINO,08465-000,4780-5072 / 2555-4474,-46.39889,-23.56559502,Guaianases
AMA ESPECIALIDADES BURGO PAULISTA,AMA Especialidades,Municipal,"R. JOSÉ SILVA ALCANTARA FILHO, 1031",BURGO PAULISTA,03680-000,2026-1166 / 2280-0080,-46.490492,-23.52325101,Ponte Rasa
AMA ESPECIALIDADES CAPÃO REDONDO,AMA Especialidades,Municipal,"AV. COMENDADOR SANTANA, 542",JD BOA ESPERANÇA,05866-000,5872-9902 / 5872-9906,-46.773638,-23.67512701,Capão Redondo
AMA ESPECIALIDADES ITAQUERA,AMA Especialidades,Municipal,"R. KEN SUGAYA, 189",ITAQUERA,08210-100,2071-2422,-46.4534444,-23.53881412,Itaquera
AMA ESPECIALIDADES JARDIM EDITE,AMA Especialidades,Municipal,"R. CHARLES COULOMB, 80",CIDADE MONCOES,04576-030,4329-8860,-46.694313,-23.61326502,Itaim Bibi
AMA ESPECIALIDADES JARDIM GUAIRACÁ,AMA Especialidades,Municipal,"R. ERVA IMPERIAL, 501",JD GUAIRACA,03244-030,2216-3332 / 2115-9644,-46.539917,-23.59976501,São Lucas
AMA ESPECIALIDADES JARDIM SÃO LUIZ,AMA Especialidades,Municipal,"R. LUIZ ANTONIO VERNEY, 98",JARDIM SÃO LUIZ,05846-380,5511-8143,-46.743734,-23.66074201,Jardim São Luís
AMA ESPECIALIDADES PARQUE PERUCHE,AMA Especialidades,Municipal,"R. JOSÉ RANGEL DE CAMARGO, 500",PQ PERUCHE,02538-010,3856-8689 / 3856-8191,-46.65475,-23.49766802,Casa Verde
AMA ESPECIALIDADES PEDIATRICAS CAMPO LIMPO,AMA Especialidades,Municipal,"R. MANOEL ANTONIO PINTO, 210",PARAISOPOLIS,05663-020,2151-0671,-46.724792,-23.61397302,Vila Andrade
AMA ESPECIALIDADES PERUS,AMA Especialidades,Municipal,"R. ANTONIO JOSE ANACLETO, 80",VILA FANTON,05201-070,2901-4606,-46.738174,-23.40371001,Perus
AMA ESPECIALIDADES SANTA CECÍLIA - DR. HUMBERTO PASCALE,AMA Especialidades,Municipal,"R. VITORINO CARMILO, 599",CAMPOS ELÍSEOS,01153-000,5193-0005 / 5193-0006,-46.652267,-23.53195601,Santa Cecília
AMA ESPECIALIDADES VILA CONSTÂNCIA - DR VICENTE OCTAVIO GUIDO,AMA Especialidades,Municipal,"R. HERMENEGILDO MARTINI, S/Nº",VILA DO CASTELO,04438-280,5562-6944 / 5562-7034,-46.666318,-23.67372101,Cidade Ademar
AMA ESPECIALIDADES VILA DAS MERCÊS,AMA Especialidades,Municipal,"R. NOSSA SENHORA DAS MERCÊS, 1315",VL DAS MERCÊS,04165-001,2351-3291 / 2264-1200,-46.604935,-23.62957501,Sacomã
AMA ESPECIALIDADES VILA ZATT,AMA Especialidades,Municipal,"R. MONSENHOR MANUEL GOMES, 77",VILA ZATT,02975-120,2905-7164,-46.711357,-23.47698701,Pirituba
AMB ESPEC ALTO DA BOA VISTA,Ambulatório de Especialidades,Municipal,"R. MINISTRO ROBERTO CARDOSO ALVES, 386",ALTO DA BOA VISTA,04737-000,5523-0069,-46.69970047,-23.65027164,Santo Amaro
AMB ESPEC CECI - DR. ALEXANDRE KALIL YASBEK,Ambulatório de Especialidades,Municipal,"AV. CECI, 2235",PLANALTO PAULISTA,04065-004,2275-6487,-46.646352,-23.62862202,Saúde
AMB ESPEC DR. MILTON ALDRED,Ambulatório de Especialidades,Municipal,"R. SÃO CAETANO DO SUL, 381",GRAJAÚ,04840-230,5932-2015,-46.68596,-23.75541401,Grajaú
AMB ESPEC FREGUESIA DO Ó,Ambulatório de Especialidades,Municipal,"R. BONIFÁCIO CUBAS, 304",FREGUESIA DO Ó,02731-000,3931-5956,-46.694136,-23.50005702,Freguesia do Ó
AMB ESPEC JARDIM MARCELO,Ambulatório de Especialidades,Municipal,"R. GASTÃO RAUL FOURTON BOUSQUET, 377",JARDIM MARCELO,05797-000,5825-8666,-46.771112,-23.65568501,Capão Redondo
AMB ESPEC JOSÉ BONIFACIO IV,Ambulatório de Especialidades,Municipal,"R. ANDREAS AMON, 150",ITAQUERA,08255-130,2523-3322,-46.435016,-23.55346202,José Bonifácio
AMB ESPEC MOOCA - ÍTALO DOMINGOS LE VOCCI,Ambulatório de Especialidades,Municipal,"R. MARINA CRESPI, 91",MOOCA,03112-090,2693-4281,-46.604055,-23.55597501,Mooca
AMB ESPEC PARELHEIROS,Ambulatório de Especialidades,Municipal,"R. JUVENAL LUZ, S/N",JARDIM NOVO PARELHEIROS,04890-430,5920-8860,-46.727152,-23.82939482,Parelheiros
AMB ESPEC PERUS,Ambulatório de Especialidades,Municipal,"R. ANTONIO JOSE ANACLETO, 80",VILA CAIUBA,05201-070,3917-1263 / 3915-4745,-46.738174,-23.40371001,Perus
AMB ESPEC PIRITUBA,Ambulatório de Especialidades,Municipal,"AV. MENOTTI LAUDISIO, 100",PIRITUBA,02945-000,3394-8749,-46.727876,-23.48434702,Pirituba
AMB ESPEC SÃO CARLOS,Ambulatório de Especialidades,Municipal,"R. MACABU, 35",JARDIM SÃO CARLOS,08411-470,2016-9559 / 4780-5036,-46.412888,-23.55789902,Guaianases
AMB ESPEC SAPOPEMBA,Ambulatório de Especialidades,Municipal,"R. JOÃO LOPES DE LIMA, 1151",JD SAPOPEMBA,03976-020,2962-3480,-46.492935,-23.61164702,Sapopemba
AMB ESPEC TUCURUVI - ARMANDO DE AGUIAR PUPO,Ambulatório de Especialidades,Municipal,"AV. NOVA CANTAREIRA, 1467",TUCURUVI,02331-002,2952-6700 / 2952-1555,-46.612658,-23.48132002,Santana
AMBULATORIO MEDICO DO INSTITUTO BUTANTAN,Ambulatório de Especialidades,Estadual,"AV. VITAL BRASIL, 1500",BUTANTÃ,05503-000,2627-9614,-46.71899138,-23.56663295,Butantã
AME DE PSIQUIATRIA - VILA MARIA,Ambulatório de Especialidades,Estadual,"AV. GUILHERME COTCHING, 1600",VILA MARIA,02113-012,3478-1377,-46.587403,-23.51568202,Vila Maria
AME DRª MARIA CRISTINA CURY (INTERLAGOS),Ambulatório de Especialidades,Estadual,"R. ARTHUR NASCIMENTO JUNIOR, 120",JARDIM SATELITE,04815-180,5668-2500,-46.691255,-23.70349502,Cidade Dutra
AME IDOSO OESTE,Ambulatório de Especialidades,Estadual,"R. ROMA, 466",LAPA,05050-090,,-46.701031,-23.52258401,Lapa
AME IDOSO SUDESTE,Ambulatório de Especialidades,Estadual,"R. DOMINGOS DE MORAES, 1947",VILA MARIANA,04009-000,,-46.636067,-23.59302901,Vila Mariana
AME JARDIM DOS PRADOS,Ambulatório de Especialidades,Estadual,"R. SANTANA, 275",VILA SAO PEDRO,04676-110,5633-2491,-46.682378,-23.67158001,Campo Grande
CEO II VILA CARRÃO,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. DR JACI BARBOSA, 280",VILA CARRÃO,03447-000,2785-4728,-46.52458,-23.55304101,Carrão
CASA ANGELA,Casa do Parto,Privado,"R. MAHAMED AGUIL, 34",JARDIM MIRANTE,05801-060,5852-5332,-46.733833,-23.64577302,Jardim São Luís
CASA DO PARTO DE SAPOPEMBA,Casa do Parto,Municipal,"R. SÃO JOSÉ DAS ESPINHARAS, 400",VL INDUSTRIAL,04379-030,2702-6043,-46.532649,-23.60413101,São Lucas
CCO - CENTRO DE CUIDADO ODONTOLÓGICO,Clínica Odontológica de Especialidades,Municipal,"R. JARAGUÁ, 866",BOM RETIRO,01129-000,5194-2404,-46.648579,-23.52475002,Bom Retiro
CENTRO DE CUIDADOS ODONTOLOGICOS - CCO NORTE,Clínica Odontológica de Especialidades,Municipal,"R. ISMAEL NERI, 810",AGUA FRIA,02335-001,4435-5412,-46.613493,-23.48214702,Santana
CENTRO DE DERMATOLOGIA SANITARIA,Ambulatório de Especialidades,Estadual,"R. LEOPOLDO MIGUEZ, 327",VARZEA DO GLICERIO,01518-020,3207-4874,-46.625604,-23.55701601,Cambuci
CENTRO DE EXAMES DA MULHER,SEM TIPO,Municipal,"R. LAPENNA, 60",ITAQUERA,08220-585,,-46.452792,-23.53255901,Itaquera
CENTRO DE REABILITAÇÃO UMARIZAL,Centro de Reabilitação,Estadual,"R. GUARAMEMBÉ, 589",JARDIM UMARIZAL,05756-350,5841-7414,-46.751644,-23.62332502,Campo Limpo
CEO II VILA MARIA/VILA GUILHERME,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. PADRE MARCOS SIMONI, 390",VILA EDE,02203-010,3478-5900,-46.59155,-23.49072201,Vila Medeiros
CENTRO DE REF DE SAÚDE INTEGRAL PARA A POPULAÇÃO DE TRAVESTIS E TRANSEXUAIS JANAINA LIMA - CR POP TT,SEM TIPO,Municipal,"R. JARAGUÁ, 866",BOM RETIRO,01129-000,5196-2405,-46.648616,-23.52470602,Bom Retiro
CENTRO DE REFERÊNCIA DA DOR CRÔNICA - BOM RETIRO,SEM TIPO,Municipal,"R. JARAGUÁ, 866",BOM RETIRO,01129-000,5242-8480,-46.648616,-23.52470602,Bom Retiro
CENTRO DE REFERÊNCIA DA DOR CRÔNICA - LESTE,SEM TIPO,Municipal,"R. ANTONIO GAMA DE CERQUEIRA, 361",SAO MIGUEL PAULISTA,08010-130,2956-8122,-46.440919,-23.49696201,São Miguel
CENTRO DE REFERÊNCIA DA DOR CRONICA - OESTE,SEM TIPO,Municipal,"AV. QUEIROZ FILHO, 313",ALTO DE PINHEIROS,05319-000,3071-2800,-46.721961,-23.53759601,Alto de Pinheiros
CENTRO DE REFERÊNCIA DA DOR CRÔNICA - PARQUE MARIA HELENA,SEM TIPO,Municipal,"R. DR BENEDITO MATARAZZO, 371",PARQUE MARIA HELENA,05854-090,2330-0133,-46.762392,-23.66318502,Capão Redondo
CENTRO DE REFERÊNCIA DA DOR CRÔNICA - PIRITUBA,SEM TIPO,Municipal,"R. PEDRO SERNAGIOTTI, 380",PARQUE SAO DOMINGOS,05124-050,,-46.73409932,-23.50060926,São Domingos
CENTRO DE REFERENCIA DA DOR CRONICA - VILA MARIANA,SEM TIPO,Municipal,"R. CARLOS GEROLOMO MONACO, 169",VILA MARIANA,04121-050,,-46.624823,-23.59776302,Vila Mariana
CENTRO DE REFERENCIA DO IDOSO DA ZONA NORTE,Ambulatório de Especialidades,Estadual,"R. AUGUSTO TOLLE, 978",SANTANA,02405-001,2972-9244,-46.63321,-23.48464301,Santana
CEO I LAPA,Centro/Clínica de Especialidades Odontológicas,Municipal,"AV. DR ARNALDO, 925",CERQUEIRA CESAR,01246-904,3862-7139,-46.673569,-23.55332501,Jardim Paulista
CEO I VILA MARIANA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. SÃO SAMUEL, 70",VILA MARIANA,04120-030,5082-1003,-46.633863,-23.59409501,Vila Mariana
CEO II BUTANTÃ,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. JOÃO GUERRA, 247",JD PERI PERI,05535-100,3744-3021,-46.732112,-23.58660001,Butantã
CEO II CAMPO LIMPO,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. FRANCISCO SOARES, 81",JARDIM INGA,05774-300,5511-5573,-46.749938,-23.63794402,Campo Limpo
CEO II CAPÃO REDONDO,Centro/Clínica de Especialidades Odontológicas,Municipal,"AV. COMENDADOR SANTANA, 542",CAPAO REDONDO,05866-000,3099-0321,-46.773322,-23.67162302,Capão Redondo
CEO II CAPELA DO SOCORRO,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. SÃO CAETANO DO SUL, 381",GRAJAU,04840-230,5932-2015 / 5528-1475,-46.68596,-23.75541401,Grajaú
CEO II CASA VERDE,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. MOURAO VIEIRA, 11",CASA VERDE BAIXA,02518-020,3858-8593,-46.663986,-23.50942801,Casa Verde
CEO II CIDADE TIRADENTES,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. FERNANDO GANGA, 14",CIDADE TIRADENTES,08471-100,2516-1522 / 2516-1729,-46.398651,-23.60137602,Cidade Tiradentes
CEO II DR. HUMBERTO NASTARI,Centro/Clínica de Especialidades Odontológicas,Municipal,"ESTRADA DO ALVARENGA, 257",PEDREIRA,04462-000,5612-3024,-46.67071,-23.69752002,Pedreira
CEO II ERMELINO MATARAZZO,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. JOSÉ GOES NOGUEIRA, 70",VL PARANAGUA,03807-380,2544-0887,-46.474236,-23.49493101,Ermelino Matarazzo
CEO II FREGUESIA DO O/BRASILANDIA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. RUI DE MORAES APOCALIPSE, 4",JARDIM DO TIRO,02842-260,3921-7759,-46.683952,-23.47344802,Brasilândia
CEO II GUAIANASES,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. MACABU, 35",JARDIM SAO CARLOS,08411-470,2016-9559,-46.412888,-23.55789902,Guaianases
CEO II IPIRANGA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. XAVIER DE ALMEIDA, 210",IPIRANGA,04266-000,2063-2350,-46.608734,-23.58729002,Ipiranga
CEO II ITAQUERA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. ANDREAS AMON, 150",JOSE BONIFACIO,08255-130,2522-8287,-46.435016,-23.55346202,José Bonifácio
CEO II JABAQUARA,Centro/Clínica de Especialidades Odontológicas,Municipal,"AV. ENG ARMANDO DE ARRUDA PEREIRA, 2944",VILA DO ENCONTRO,04308-001,5588-2366,-46.637902,-23.65227402,Jabaquara
CEO II M BOI MIRIM,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. MANUEL BORDALO PINHEIRO, 100",PARQUE SANTO ANTONIO,05850-230,5511-4249 / 5816-5546,-46.755887,-23.65719802,Jardim São Luís
CEO II PENHA - DR. WILSON FERREIRA DO VALE,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. EDGARD GARCIA VIEIRA, 130",VL MATILDE,03510-040,2651-5123,-46.533072,-23.53539602,Vila Matilde
CEO II PIRITUBA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. MARCELA ALVES DE CASSIA, 175",JARDIM JARAGUA,05158-400,3906-8408,-46.759182,-23.48909902,São Domingos
CEO II SANTANA,Centro/Clínica de Especialidades Odontológicas,Municipal,"AV. NOVA CANTAREIRA, 1467",TUCURUVI,02331-002,,-46.613129,-23.48228002,Santana
CEO II SÃO MATEUS,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. SENADOR MAYNARD GOMES, S/N",JARDIM NOVE DE JULHO,03948-000,2012-4682,-46.492151,-23.58724002,São Mateus
CEO II SAPOPEMBA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. JOÃO LOPES DE LIMA, 1151",SAPOPEMBA,03976-020,2962-3480,-46.492935,-23.61164702,Sapopemba
CEO II VERA CRUZ - M BOI MIRIM,Centro/Clínica de Especialidades Odontológicas,Municipal,"AV. DOS FUNCIONARIOS PUBLICOS, 379",JARDIM VERA CRUZ,04962-000,5898-5900,-46.781399,-23.73469302,Jardim Ângela
CEO II VILA BERTIOGA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. FAROL PAULISTANO, 410",ALTO DA MOOCA,03192-060,2965-1066 / 2021-7210,-46.575467,-23.57093002,Água Rasa
CEO III ALTO DA BOA VISTA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. MINISTRO ROBERTO CARDOSO ALVES, 386",ALTO DA BOA VISTA,04737-000,5541-9671,-46.69970047,-23.65027164,Santo Amaro
CEO III PARELHEIROS - YVETTE RANZANI VIEGAS,Centro/Clínica de Especialidades Odontológicas,Municipal,"ESTRADA ENGENHEIRO MARSILAC, 1047",PARELHEIROS,04890-300,5922-1881,-46.73164,-23.83755102,Parelheiros
CEO III PROF. ALFREDO REIS VIEGAS,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. HUMAITÁ, 520",BELA VISTA,01321-010,3115-0759,-46.641943,-23.55722302,Bela Vista
CEO III SÃO MIGUEL,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. JOÃO AUGUSTO DE MORAIS, 348",SAO MIGUEL PAULISTA,08010-130,2033-0511,-46.440799,-23.49665001,São Miguel
CEO III VISCONDE DE ITAUNA,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. LINO COUTINHO, 841",IPIRANGA,04207-001,2215-3701,-46.602473,-23.59052001,Ipiranga
CEO ITAIM PAULISTA,Centro/Clínica de Especialidades Odontológicas,Municipal,"PRAÇA MAJOR JOSE LEVY SOBRINHO, 139",ITAIM PAULISTA,08110-460,2561-9443,-46.400608,-23.49455701,Itaim Paulista
CER II BUTANTÃ,Centro de Reabilitação,Municipal,"R. JOÃO GUERRA, 247",JARDIM PERI,05535-100,3742-9513,-46.732112,-23.58660001,Butantã
CER II CIDADE TIRADENTES,Centro de Reabilitação,Municipal,"R. FERNANDO GANGA, 14",CIDADE TIRADENTES,08471-100,2516-1522 / 2516-1729,-46.398651,-23.60137602,Cidade Tiradentes
CER II FREGUESIA DO O / BRASILANDIA,Centro de Reabilitação,Municipal,"R. ENGENHEIRO EDGARD FERREIRA DE BARROS JUNIOR, 75",FREGUESIA DO O,02910-015,3931-6744,-46.695158,-23.50622902,Freguesia do Ó
CER II GUAIANASES,Centro de Reabilitação,Municipal,"AV. UTARO KANAI, 286",COHAB JUSCELINO,08465-000,4780-2379,-46.39889,-23.56559502,Guaianases
CER II JAÇANÃ,Centro de Reabilitação,Municipal,"R. SÃO GERALDINO, 222",VILA CONSTANCIA,02258-220,2821-6700,-46.58048537,-23.47452797,Jaçanã
CER II JARDIM CAMARGO NOVO,Centro de Reabilitação,Municipal,"R. BOIGUAÇU, 51",JARDIM CAMARGO NOVO,08121-270,4780-5098 / 2963-2610,-46.385765,-23.50299101,Itaim Paulista
CER II JARDIM CAMPOS,Centro de Reabilitação,Municipal,"R. SETE ESTRELAS, 486",JARDIM CAMPOS,08152-040,3808-2655 / 4780-2419,-46.406914,-23.51242601,Vila Curuçá
CER II JARDIM SOARES,Centro de Reabilitação,Municipal,"R. FELICIANO DE MENDONCA, 496",JARDIM SOARES,08460-365,4780-2370 / 4780-2369,-46.398645,-23.55382101,Guaianases
CER II PARELHEIROS,Centro de Reabilitação,Municipal,"R. GASPAR LEME, 200",BALNEARIO SAO JOSE,04864-050,5922-8733 / 5979-2006,-46.72359835,-23.77129129,Parelheiros
CER II PARQUE ARTHUR ALVIM,Centro de Reabilitação,Municipal,"R. HENRIQUE JACOBS, 269",VILA SANTA TEREZA,03566-010,2748-7410,-46.491942,-23.53768402,Artur Alvim
CER II PERUS,Centro de Reabilitação,Municipal,"R. ANTONIO JOSE ANACLETO, 80",VILA FANTON,05201-070,3245-9050,-46.738348,-23.40381002,Perus
CER II TATUAPÉ - DR. SALOMÃO CROCHIK,Centro de Reabilitação,Municipal,"PRAÇA MANOEL BORGES DE SOUZA NUNES X R. BOM SUCESSO,650, S/Nº",TATUAPÉ,03304-065,2097-8901,-46.576396,-23.54636601,Tatuapé
CER II TUCURUVI,Centro de Reabilitação,Municipal,"AV. ZAKI NARCHI, 357",SANTANA,02029-000,2204-5311 / 2221-2513,-46.621982,-23.51123401,Santana
CER II VILA MARIANA,Centro de Reabilitação,Municipal,"AV. CECI, 2235",PLANALTO PAULISTA,04065-004,5581-2828,-46.646342,-23.62865201,Saúde
CER II VILA NOSSA SENHORA APARECIDA,Centro de Reabilitação,Municipal,"R. PAULINO SERQUEIRA, 1",ITAQUERA,08215-260,2079-7871,-46.442818,-23.53434001,Itaquera
CER II VILA PRUDENTE,Centro de Reabilitação,Municipal,"PRAÇA DO CENTENARIO DE VILA PRUDENTE, 108",VILA PRUDENTE,03132-050,2272-0549 / 2273-1665,-46.583095,-23.58197402,Vila Prudente
CER III CAMPO LIMPO,Centro de Reabilitação,Municipal,"R. GASTAO RAUL FOURTON BOUSQUET, 377",JARDIM MARCELO,05797-000,5827-5228 / 5821-0177,-46.77313,-23.65523002,Capão Redondo
CER III CARANDIRU,Centro de Reabilitação,Municipal,"R. JOSE PEREIRA JORGE, 305",CARANDIRU,02067-020,3475-8800 / 3475-8815,-46.610739,-23.50440801,Vila Guilherme
CER III CIDADE ADEMAR,Centro de Reabilitação,Municipal,"R. CORREGO AZUL, 433",BALNEARIO MAR PAULISTA,04463-010,5612-8935,-46.659879,-23.69557501,Pedreira
CER III ERMELINO MATARAZZO,Centro de Reabilitação,Municipal,"R. ANTONIO CARLOS LAMENGO, 54",VILA PARANAGUA,03807-080,2838-0574,-46.472813,-23.50226002,Ermelino Matarazzo
CER III INTERLAGOS,Centro de Reabilitação,Municipal,"AV. DO RIO BONITO, 3100",SOCORRO,04776-003,5666-7636,-46.70126079,-23.69827215,Socorro
