nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
CTA IST/AIDS CIDADE TIRADENTES,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. MILAGRE DOS PEIXES, 357",CONJUNTO HABITACIONA,08474-120,2282-7055 / 2964-0784,-46.408806,-23.58261402,Cidade Tiradentes
CTA IST/AIDS GUAIANASES,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. CENTRALINA, 168",GUAIANASES,08410-000,2554-5312,-46.416156,-23.54490502,Guaianases
CTA IST/AIDS HENFIL - HENRIQUE DE SOUZA FILHO,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. LÍBERO BADARÓ, 144",CENTRO,01008-000,3241-1627,-46.637167,-23.54832802,Sé
CTA IST/AIDS ITINERANTE DA CIDADE DE SÃO PAULO,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. GENERAL JARDIM, 36",VILA BUARQUE,01223-010,2027-2000,-46.645035,-23.54433702,República
CTA IST/AIDS JOSE ARAUJO LIMA FILHO,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. LOUIS BOULANGER, 120",BAIRRO JD BOM REFUGI,05788-330,5891-6604,-46.7762684,-23.63288301,Campo Limpo
CTA IST/AIDS MOOCA,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. TAQUARI, 549",MOOCA,03166-000,2694-3338,-46.59824,-23.55129201,Mooca
CTA IST/AIDS PIRITUBA,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"AV. DR FELIPE PINEL, 12",PIRITUBA,02939-000,3974-8580,-46.727053,-23.48709202,Pirituba
CTA IST/AIDS SANTO AMARO - PAULA LEGNO,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"AV. MARIO LOPES LEAO, 240",SANTO AMARO,04754-010,5686-9960,-46.707854,-23.65060102,Santo Amaro
CTA IST/AIDS SÃO MIGUEL,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. JOSE ALDO PIASSI, 85",SÃO MIGUEL PAULISTA,08011-300,2297-6052,-46.4444768,-23.49392502,São Miguel
CTA IST/AIDS SERGIO AROUCA,Centro de Testagem e Acompanhamento DST/AIDS,Municipal,"R. VALENTE DE NOVAIS, 131",ITAIM PAULISTA,08120-420,2561-3052 / 2963-3458,-46.396623,-23.50117402,Itaim Paulista
SAE IST AIDS VILA PRUDENTE - SHIRLEI MARIOTTI GOMES COELHO,Serviço de Atendimento Especializado em DST/AIDS (SAE),Municipal,"PRAÇA DO CENTENARIO DE VILA PRUDENTE, 108",VILA PRUDENTE,03132-050,2061-7836,-46.583095,-23.58197402,Vila Prudente
SAE IST/AIDS - FIDELIS RIBEIRO,Serviço de Atendimento Especializado em DST/AIDS (SAE),Municipal,"R. PEIXOTO, 100",PONTE RASA,03627-010,2621-0217,-46.50538,-23.51207702,Ponte Rasa
SAE IST/AIDS - SÃO MATEUS,Serviço de Atendimento Especializado em DST/AIDS (SAE),Municipal,"AV. MATEO BEI, 838",SÃO MATEUS,03949-000,2919-0697,-46.489813,-23.59057901,São Mateus
SAE IST/AIDS BUTANTÃ,Serviço de Atendimento Especializado em DST/AIDS (SAE),Municipal,"R. DR BERNARDO GUERTZENSTEIN, 45",RIO PEQUENO,05381-020,3765-1692,-46.761165,-23.57271801,Rio Pequeno
SAE IST/AIDS CAMPOS ELISEOS,Serviço de Atendimento Especializado em DST/AIDS (SAE),Municipal,"ALAMEDA CLEVELAND, 374",CAMPOS ELÍSEOS,01230-000,3331-1216,-46.641597,-23.53213002,Santa Cecília
