nome,categoria,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
CENTRO ESPORTIVO SANTO AMARO - CEE JOERG BRUDER,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AVENIDA PADRE JOSE MARIA, 555",,,,-46.71235209,-23.65481653,Santo Amaro
CENTRO ESPORTIVO IBIRAPUERA - CEE MANÉ GARRINCHA,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA PEDRO DE TOLEDO, 1651",,,,-46.65541933,-23.59799455,Moema
CENTRO ESPORTIVO VILA INDEPENDÊNCIA - CEE FLÁVIO CALABRESI CONTE,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA DAS MUNICIPALIDADES, 10",,,,-46.59701051,-23.58805377,Ipiranga
CENTRO ESPORTIVO JARDIM SABARÁ - MINI BALNEÁRIO ANTONIO CARLOS DE ABREU SODRÉ,CENTRO ESPORTIVO,Centro Esportivo/Mini-Balneário,Público - Municipal,"RUA CURIA, 149",,,,-46.6821805,-23.68596584,Campo Grande
CENTRO ESPORTIVO IPIRANGA - BALNEÁRIO CARLOS JOEL NELLI,CENTRO ESPORTIVO,Centro Esportivo/Balneário,Público - Municipal,"PRACA NAMI JAFET, 45",,,,-46.60536006,-23.58039509,Ipiranga
CENTRO ESPORTIVO VILA SANTA CATARINA - BALNEÁRIO JALISCO,CENTRO ESPORTIVO,Centro Esportivo/Balneário,Público - Municipal,"RUA RODES, 112",,,,-46.66748704,-23.64224177,Campo Belo
CENTRO ESPORTIVO CAMPO LIMPO - MINI BALNEÁRIO SINÉSIO ROCHA,CENTRO ESPORTIVO,Centro Esportivo/Mini-Balneário,Público - Municipal,"RUA CIBAUMA, 54",,,,-46.75383789,-23.62004775,Campo Limpo
CENTRO ESPORTIVO VILA CARIOCA - BALNEÁRIO PRINCESA ISABEL,CENTRO ESPORTIVO,Centro Esportivo/Balneário,Público - Municipal,"RUA CAMPANTE, 100",,,,-46.59518309,-23.59553864,Ipiranga
CENTRO ESPORTIVO VILA GUARANI - CEE RIYUSO OGAWA,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA LUSSANVIRA, 178",,,,-46.63775279,-23.64035885,Jabaquara
MODELÓDROMO DO IBIRAPUERA,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA CURITIBA, 290",,,,-46.6530278,-23.58258144,Moema
CENTRO ESPORTIVO NÁUTICO GUARAPIRANGA,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AV DOS FUNCIONARIOS PUBLICOS, 2501",,,,-46.7700293,-23.74671953,Jardim Ângela
CENTRO ESPORTIVO PISTA DE SKATE DO PARQUE DO CHUVISCO,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AV DR LINO DE MOARES LEME, 504",,,,-46.66151789,-23.63791711,Campo Belo
CENTRO ESPORTIVO VILA MARIA - CEE THOMAZ MAZZONI,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"PRACA JANIO DA SILVA QUADROS, 150",,,,-46.57883847,-23.5012871,Vila Maria
CENTRO ESPORTIVO JARDIM CABUÇU - MINI BALNEÁRIO IRMÃOS PAOLILLO,CENTRO ESPORTIVO,Centro Esportivo/Mini-Balneário,Público - Municipal,"RUA GENERAL JERONIMO FURTADO, 751",,,,-46.56950885,-23.4642152,Jaçanã
CENTRO ESPORTIVO MANDAQUI - MINI BALNEÁRIO GASTÃO MOUTINHO,CENTRO ESPORTIVO,Centro Esportivo/Mini-Balneário,Público - Municipal,"RUA CORONEL JOAO DA SILVA FEIJO, 80",,,,-46.63938957,-23.46993831,Mandaqui
CENTRO ESPORTIVO CASA VERDE - MINI BALNEÁRIO COMANDANTE GARCIA D'ÁVILA,CENTRO ESPORTIVO,Centro Esportivo/Mini-Balneário,Público - Municipal,"RUA ARMANDO COELHO E SILVA, 775",,,,-46.65533837,-23.49197554,Casa Verde
CENTRO ESPORTIVO VILA BRASILÂNDIA - CEE OSWALDO BRANDÃO,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA MICHIHISA MURATA, 120",,,,-46.69724505,-23.4759149,Freguesia do Ó
CENTRO ESPORTIVO FREGUESIA DO Ó - CEE AURÉLIO CAMPOS,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA JACUTIBA, 167",,,,-46.69376656,-23.48322291,Freguesia do Ó
CENTRO ESPORTIVO VILA GUILHERME - GINÁSIO DARCY REIS,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AVENIDA GUILHERME, 1819",,,,-46.59988001,-23.50795337,Vila Guilherme
CENTRO ESPORTIVO JARDIM SÃO PAULO - CEE ALFREDO INÁCIO TRINDADE,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA VIRI, 425",,,,-46.61280308,-23.49480427,Santana
CENTRO ESPORTIVO CAMBUCI - CEE RUBENS PECCE LORDELLO,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AVENIDA LINS DE VASCONCELOS, 804",,,,-46.62241359,-23.5699152,Cambuci
CENTRO ESPORTIVO BARRA FUNDA - CEE RAUL TABAJARA,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA ANHANGUERA, 484",,,,-46.65151833,-23.52351679,Santa Cecília
ESTÁDIO MUNICIPAL DE BEISEBOL BOM RETIRO - ESTÁDIO MUNICIPAL MIE NISHI,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AV PRESIDENTE CASTELO BRANCO, 5446",,,,-46.65450587,-23.51682161,Barra Funda
CENTRO ESPORTIVO ACLIMAÇÃO - ESTÁDIO MUNICIPAL JACK MARIN,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"RUA MUNIZ DE SOUZA, 1119",,,,-46.62837819,-23.57194351,Liberdade
CENTRO ESPORTIVO TIETÊ - CENTRO ESPORTIVO TIETÊ,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AVENIDA SANTOS DUMONT, 843",,,,-46.63213415,-23.520518,Bom Retiro
CENTRO DE ESPORTES RADICAIS,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"AV CASTELO BRANCO, 5700",,,,-46.65450587,-23.51682161,Barra Funda
CENTRO ESPORTIVO JOSÉ BONIFÁCIO - CEL JOSÉ BONIFÁCIO,CENTRO ESPORTIVO,Centro Esportivo/Centro de Esporte e Lazer - CE/CEL,Público - Municipal,"RUA ANA PERENA, 110",,,,-46.43676437,-23.54727767,José Bonifácio
CENTRO ESPORTIVO VILA MANCHESTER - CEE VICENTE ÍTALO FEOLA,CENTRO ESPORTIVO,Centro Esportivo/Centro Educacional e Esportivo - CE/CEE,Público - Municipal,"PRACA HAROLDO DALTRO, S\/N",,,,-46.53278739,-23.54814094,Carrão
CENTRO ESPORTIVO SÃO MATEUS - MINI BALNEÁRIO JOSÉ MARIA WHITAKER,CENTRO ESPORTIVO,Centro Esportivo/Mini-Balneário,Público - Municipal,"AVENIDA SATELITE, 756",,,,-46.46457257,-23.61073866,São Mateus
CENTRO ESPORTIVO TIRADENTES - CEL ANDRÉ VITAL RIBEIRO SOARES,CENTRO ESPORTIVO,Centro Esportivo/Centro de Esporte e Lazer - CE/CEL,Público - Municipal,"AVENIDA DOS METALURGICOS, 2255",,,,-46.40224444,-23.59908114,Cidade Tiradentes
