nome,modal,empresa,linha,situacao,longitude,latitude,distrito
CORINTHIANS-ITAQUERA,Metrô,METRO,VERMELHA,OPERANDO,-46.47107772,-23.54230527,Itaquera
ARTUR ALVIM,Metrô,METRO,VERMELHA,OPERANDO,-46.48458996,-23.54028841,Artur Alvim
PATRIARCA,Metrô,METRO,VERMELHA,OPERANDO,-46.5013818,-23.53118276,Penha
GUILHERMINA-ESPERANÇA,Metrô,METRO,VERMELHA,OPERANDO,-46.51654824,-23.52926294,Penha
VILA MATILDE,Metrô,METRO,VERMELHA,OPERANDO,-46.53100548,-23.53187738,Penha
PENHA,Metrô,METRO,VERMELHA,OPERANDO,-46.54234908,-23.53348131,Penha
CARRÃO,Metrô,METRO,VERMELHA,OPERANDO,-46.56415536,-23.53785103,Tatuapé
TATUAPÉ,Metrô,METRO,VERMELHA,OPERANDO,-46.57628448,-23.54043989,Tatuapé
BELÉM,Metrô,METRO,VERMELHA,OPERANDO,-46.59010776,-23.5430226,Belém
BRESSER-MOOCA,Metrô,METRO,VERMELHA,OPERANDO,-46.60754004,-23.54647636,Mooca
BRÁS,Metrô,METRO,VERMELHA,OPERANDO,-46.61590896,-23.5478844,Brás
PEDRO II,Metrô,METRO,VERMELHA,OPERANDO,-46.6259094,-23.54971551,Brás
SÉ,Metrô,METRO,VERMELHA,OPERANDO,-46.6331346,-23.55092139,Sé
ANHANGABAÚ,Metrô,METRO,VERMELHA,OPERANDO,-46.6388856,-23.5479476,República
REPÚBLICA,Metrô,METRO,VERMELHA,OPERANDO,-46.64314908,-23.54389388,República
SANTA CECÍLIA,Metrô,METRO,VERMELHA,OPERANDO,-46.64887956,-23.53963806,Santa Cecília
MARECHAL DEODORO,Metrô,METRO,VERMELHA,OPERANDO,-46.65602664,-23.53351827,Santa Cecília
PALMEIRAS-BARRA FUNDA,Metrô,METRO,VERMELHA,OPERANDO,-46.66737276,-23.52594769,Barra Funda
VILA MADALENA,Metrô,METRO,VERDE,OPERANDO,-46.69085484,-23.54639071,Pinheiros
SANTUÁRIO NOSSA SENHORA DE FÁTIMA-SUMARÉ,Metrô,METRO,VERDE,OPERANDO,-46.67753844,-23.55101627,Perdizes
CLÍNICAS,Metrô,METRO,VERDE,OPERANDO,-46.67076216,-23.5541111,Consolação
CONSOLAÇÃO,Metrô,METRO,VERDE,OPERANDO,-46.66119228,-23.55722797,Consolação
TRIANON-MASP,Metrô,METRO,VERDE,OPERANDO,-46.654416,-23.56316136,Jardim Paulista
BRIGADEIRO,Metrô,METRO,VERDE,OPERANDO,-46.64735388,-23.56888001,Vila Mariana
PARAÍSO,Metrô,METRO,VERDE,OPERANDO,-46.64105568,-23.5757681,Vila Mariana
ANA ROSA,Metrô,METRO,VERDE,OPERANDO,-46.63862748,-23.58135505,Vila Mariana
CHÁCARA KLABIN,Metrô,METRO,VERDE,OPERANDO,-46.63048644,-23.59263183,Vila Mariana
SANTOS-IMIGRANTES,Metrô,METRO,VERDE,OPERANDO,-46.6207002,-23.59593764,Cursino
ALTO DO IPIRANGA,Metrô,METRO,VERDE,OPERANDO,-46.61237016,-23.60219455,Ipiranga
SACOMÃ,Metrô,METRO,VERDE,OPERANDO,-46.60317216,-23.60141487,Ipiranga
TAMANDUATEÍ,Metrô,METRO,VERDE,OPERANDO,-46.5895746,-23.59293848,Ipiranga
VILA PRUDENTE,Metrô,METRO,VERDE,OPERANDO,-46.58190624,-23.58432594,Vila Prudente
VILA MARIANA,Metrô,METRO,AZUL,OPERANDO,-46.63465092,-23.58910752,Vila Mariana
TUCURUVI,Metrô,METRO,AZUL,OPERANDO,-46.60315056,-23.47998047,Tucuruvi
PARADA INGLESA,Metrô,METRO,AZUL,OPERANDO,-46.60882092,-23.48703268,Tucuruvi
AYRTON SENNA-JARDIM SÃO PAULO,Metrô,METRO,AZUL,OPERANDO,-46.61710956,-23.49241655,Santana
SANTANA,Metrô,METRO,AZUL,OPERANDO,-46.62477288,-23.50256893,Santana
CARANDIRU,Metrô,METRO,AZUL,OPERANDO,-46.6249626,-23.50927562,Santana
PORTUGUESA-TIETÊ,Metrô,METRO,AZUL,OPERANDO,-46.62516132,-23.51613134,Santana
ARMÊNIA,Metrô,METRO,AZUL,OPERANDO,-46.62933984,-23.5255001,Bom Retiro
TIRADENTES,Metrô,METRO,AZUL,OPERANDO,-46.6321716,-23.53065813,Bom Retiro
LUZ,Metrô,METRO,AZUL,OPERANDO,-46.63367028,-23.53690231,República
SÃO BENTO,Metrô,METRO,AZUL,OPERANDO,-46.63416672,-23.54408415,Sé
SÉ,Metrô,METRO,AZUL,OPERANDO,-46.63308816,-23.55100043,Sé
JAPÃO-LIBERDADE,Metrô,METRO,AZUL,OPERANDO,-46.6357338,-23.55497637,Sé
SÃO JOAQUIM,Metrô,METRO,AZUL,OPERANDO,-46.6386966,-23.56191105,Liberdade
VERGUEIRO,Metrô,METRO,AZUL,OPERANDO,-46.6399368,-23.56891466,Liberdade
PARAÍSO,Metrô,METRO,AZUL,OPERANDO,-46.6407738,-23.57572421,Vila Mariana
ANA ROSA,Metrô,METRO,AZUL,OPERANDO,-46.63845216,-23.58125706,Vila Mariana
SANTA CRUZ,Metrô,METRO,AZUL,OPERANDO,-46.63668816,-23.59882935,Vila Mariana
PRAÇA DA ÁRVORE,Metrô,METRO,AZUL,OPERANDO,-46.63788372,-23.61064181,Saúde
SAÚDE,Metrô,METRO,AZUL,OPERANDO,-46.63923732,-23.61860894,Saúde
SÃO JUDAS,Metrô,METRO,AZUL,OPERANDO,-46.6408116,-23.62575151,Saúde
CONCEIÇÃO,Metrô,METRO,AZUL,OPERANDO,-46.64133216,-23.63537778,Jabaquara
JABAQUARA,Metrô,METRO,AZUL,OPERANDO,-46.64099088,-23.64648321,Jabaquara
ORATÓRIO,Metrô,METRO,PRATA,OPERANDO,-46.56189996,-23.58217758,São Lucas
VILA PRUDENTE,Metrô,METRO,PRATA,OPERANDO,-46.58378796,-23.58474956,Vila Prudente
SÃO LUCAS,Metrô,METRO,PRATA,OPERANDO,-46.5443694,-23.58929459,São Lucas
VILA TOLSTÓI,Metrô,METRO,PRATA,OPERANDO,-46.52709516,-23.60092053,São Lucas
VILA UNIÃO,Metrô,METRO,PRATA,OPERANDO,-46.516113,-23.60286983,Sapopemba
CAMILO HADDAD,Metrô,METRO,PRATA,OPERANDO,-46.5376932,-23.59541293,São Lucas
CAPÃO REDONDO,Metrô,METRO,LILAS,OPERANDO,-46.7680122,-23.65929923,Capão Redondo
CAMPO LIMPO,Metrô,METRO,LILAS,OPERANDO,-46.75896072,-23.64938436,Capão Redondo
VILA DAS BELEZAS,Metrô,METRO,LILAS,OPERANDO,-46.74573648,-23.64040617,Vila Andrade
GIOVANNI GRONCHI,Metrô,METRO,LILAS,OPERANDO,-46.73409624,-23.6439647,Jardim São Luís
SANTO AMARO,Metrô,METRO,LILAS,OPERANDO,-46.72093428,-23.65575018,Jardim São Luís
LARGO TREZE,Metrô,METRO,LILAS,OPERANDO,-46.70953524,-23.65446316,Santo Amaro
ADOLFO PINHEIRO,Metrô,METRO,LILAS,OPERANDO,-46.7038836,-23.64965262,Santo Amaro
ALTO DA BOA VISTA,Metrô,METRO,LILAS,OPERANDO,-46.69905564,-23.64150089,Santo Amaro
BORBA GATO,Metrô,METRO,LILAS,OPERANDO,-46.6930152,-23.63336119,Santo Amaro
BROOKLIN,Metrô,METRO,LILAS,OPERANDO,-46.68802848,-23.6272532,Santo Amaro
EUCALIPTOS,Metrô,METRO,LILAS,OPERANDO,-46.66899132,-23.61014504,Moema
MOEMA,Metrô,METRO,LILAS,OPERANDO,-46.6619868,-23.60332886,Moema
HOSPITAL SÃO PAULO,Metrô,METRO,LILAS,OPERANDO,-46.64535984,-23.59815983,Vila Mariana
SANTA CRUZ,Metrô,METRO,LILAS,OPERANDO,-46.6371774,-23.59847538,Vila Mariana
CHÁCARA KLABIN,Metrô,METRO,LILAS,OPERANDO,-46.63048644,-23.59263183,Vila Mariana
AACD-SERVIDOR,Metrô,METRO,LILAS,OPERANDO,-46.65179988,-23.59763596,Moema
LUZ,Metrô,VIAQUATRO,AMARELA,OPERANDO,-46.6344918,-23.53615475,República
REPÚBLICA,Metrô,VIAQUATRO,AMARELA,OPERANDO,-46.64302524,-23.54458216,República
PAULISTA,Metrô,VIAQUATRO,AMARELA,OPERANDO,-46.6621866,-23.55507587,Consolação
FARIA LIMA,Metrô,VIAQUATRO,AMARELA,OPERANDO,-46.69398792,-23.56715823,Pinheiros
PINHEIROS,Metrô,VIAQUATRO,AMARELA,OPERANDO,-46.70169552,-23.56718347,Pinheiros
