nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
SANTA CASA DE SÃO PAULO,Hospital,Privado,"R. DR CESARIO MOTTA JR, 112",VILA BUARQUE,01221-020,2176-7000,-46.649326,-23.54268301,Consolação
HOSPITAL UNIVERSITARIO - HU/USP,Hospital,Estadual,"AV. PROF. LINEU PRESTES, 2565",BUTANTA,05508-000,3091-9200 / 3091-9316,-46.740293,-23.56552801,Butantã
HOSPITAL SÃO PAULO - UNIFESP,Hospital,Privado,"R. NAPOLEÃO DE BARROS, 715",VIL CLEMENTINO,04024-002,5572-1922,-46.643699,-23.59747901,Vila Mariana
HOSPITAL SÃO LUIZ GONZAGA,Hospital,Privado,"R. MICHEL OUCHANA, 94",JACANA,02276-140,3466-1000,-46.582052,-23.45874502,Jaçanã
HOSPITAL SANTA MARCELINA,Hospital,Privado,"R. SANTA MARCELINA, 177",ITAQUERA,08270-070,2070-6293,-46.461011,-23.55305901,Parque do Carmo
HOSPITAL MUNICIPAL VILA NHOCUNÉ - DR. ALEXANDRE ZAIO,Hospital,Municipal,"R. ALVES MALDONADO, 128",VILA NHOCUNE,03558-050,5178-0250,-46.501634,-23.54228502,Vila Matilde
HOSPITAL MUNICIPAL VILA MARIA - VEREADOR JOSÉ STOROPOLLI,Hospital,Municipal,"R. FRANCISCO FANGANIELLO, 127",PARQUE NOVO MUNDO,02181-160,2207-9000,-46.562067,-23.52192401,Vila Maria
HOSPITAL MUNICIPAL TATUAPÉ - DR. CARMINO CARICCHIO,Hospital,Municipal,"AV. CELSO GARCIA, 4815",TATUAPÉ,03063-000,5178-1500,-46.566291,-23.53326702,Tatuapé
HOSPITAL MUNICIPAL SOROCABANA,Hospital,Municipal,"R. FAUSTOLO, 1633",VILA ROMANA,05041-001,3879-3090,-46.701408,-23.52375402,Lapa
HOSPITAL MUNICIPAL SÃO MIGUEL - TIDE SETUBAL,Hospital,Municipal,"R. DR JOSÉ GUILHERME EIRAS, 123",SÃO MIGUEL PAULISTA,08010-220,5178-1250,-46.440204,-23.49706702,São Miguel
HOSPITAL MUNICIPAL PIRITUBA - DR. JOSÉ SOARES HUNGRIA,Hospital,Municipal,"AV. MENOTTI LAUDÍSIO, 100",PIRITUBA,02945-000,5178-0750,-46.727648,-23.48460701,Pirituba
HOSPITAL MUNICIPAL PARELHEIROS - JOSANIAS CASTANHA BRAGA,Hospital,Municipal,"R. EUZEBIO COGHI, 841",JARDIM ROSCHEL,04883-290,,-46.725401,-23.82289001,Parelheiros
HOSPITAL MUNICIPAL MATERNIDADE JARDIM SARAH - PROF. MARIO DEGNI,Hospital,Municipal,"R. LUCAS DE LEYDE, 257",VILA ANTONIO,05376-010,5178-1750,-46.764717,-23.57802802,Rio Pequeno
HOSPITAL MUNICIPAL M BOI MIRIM - DR MOYSES DEUSTSCH,Hospital,Municipal,"ESTRADA M BOI MIRIM, 5203",JARDIM ANGELA,04948-970,5832-2554,-46.775098,-23.69180602,Jardim Ângela
HOSPITAL MUNICIPAL JARDIM IVA - DR BENEDICTO MONTENEGRO,Hospital,Municipal,"R. ANTONIO LÁZARO, 226",JD IVA,03921-080,5178-2762,-46.514409,-23.58758101,Sapopemba
HOSPITAL MUNICIPAL JABAQUARA - DR. ARTUR RIBEIRO DE SABOYA,Hospital,Municipal,"AV. FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860",VILA CAMPESTRE,04330-020,5178-1000,-46.645403,-23.65338302,Jabaquara
HOSPITAL MUNICIPAL ITAQUERA/PLANALTO - PROF. DR. WALDOMIRO DE PAULA,Hospital,Municipal,"R. AUGUSTO CARLOS BAUMANN, 1074",ITAQUERA,08210-590,5178-0500,-46.44479,-23.53088001,Itaquera
HOSPITAL MUNICIPAL GUARAPIRANGA,Hospital,Municipal,"ESTRADA DA RIVIERA, 4742",RIVIERA PAULISTA,04916-000,3113-9592,-46.742163,-23.70613802,Jardim São Luís
HOSPITAL MUNICIPAL GILSON DE CASSIA MARQUES DE CARVALHO,Hospital,Municipal,"AV. SANTA CATARINA, 2785",VILA MASCOTE,04378-200,,-46.65329202,-23.65679116,Jabaquara
HOSPITAL MUNICIPAL ERMELINO MATARAZZO - PROF. DR. ALÍPIO CORREA NETTO,Hospital,Municipal,"ALAMEDA RODRIGO DE BRUM, 1989",VILA PARANAGUÁ,03807-230,5178-2000,-46.472155,-23.50019101,Ermelino Matarazzo
HOSPITAL MUNICIPAL E MATERN ESC CACHOEIRINHA - DR. MÁRIO DE M A DA SILVA,Hospital,Municipal,"AV. DEPUTADO EMILIO CARLOS, 3100",VILA NOVA CACHOEIRINHA,02720-200,3986-1000,-46.671088,-23.47997302,Cachoeirinha
HOSPITAL MUNICIPAL DR. IGNÁCIO PROENÇA DE GOUVEA,Hospital,Municipal,"R. JUVENTUS, 562",PARQUE DA MOOCA,03124-020,5178-0000 / 3394-7810,-46.590292,-23.57190702,Mooca
HOSPITAL MUNICIPAL CIDADE TIRADENTES - CARMEN PRUDENTE,Hospital,Municipal,"AV. DOS METALURGICOS, 1797",CIDADE TIRADENTES,08471-000,2559-6200,-46.403598,-23.59727701,Cidade Tiradentes
HOSPITAL MUNICIPAL CAPELA DO SOCORRO,Hospital,Municipal,"R. CASSIO DE CAMPOS NOGUEIRA, 2031",JARDIM DAS IMBUIAS,04829-310,5527-1060,-46.713403,-23.73004201,Cidade Dutra
HOSPITAL MUNICIPAL CAMPO LIMPO - DR. FERNANDO MAURO PIRES DA ROCHA,Hospital,Municipal,"ESTRADA DE ITAPECERICA, 1661",CAMPO LIMPO,05835-005,5178-2450,-46.748645,-23.64856002,Jardim São Luís
HOSPITAL MUNICIPAL BRASILÂNDIA - ADIB JATENE,Hospital,Municipal,"AV. MICHIHISA MURATA, 150",JARDIM MARISTELA,02806-160,3386-4243,-46.698152,-23.47593502,Freguesia do Ó
HOSPITAL ESTADUAL VITAL BRAZIL,Hospital,Estadual,"AV. VITAL BRAZIL, 1500",BUTANTA,05503-900,3726-7962,-46.719688,-23.56506201,Butantã
HOSPITAL ESTADUAL REGIONAL SUL,Hospital,Estadual,"R. GENERAL ROBERTO ALVES DE CARVALHO FILHO, 270",SANTO AMARO,04744-000,5694-8200,-46.705822,-23.65552402,Santo Amaro
HOSPITAL ESTADUAL MATERNIDADE INTERLAGOS,Hospital,Estadual,"R. LEONOR ALVIM, 211",JD LEBLON,04802-190,5668-1232,-46.701975,-23.70681602,Cidade Dutra
HOSPITAL ESTADUAL LOCAL DE SAPOPEMBA,Hospital,Estadual,"R. IAMACARU, 45",SAPOPEMBA,03982-060,2024-7510,-46.51377051,-23.60985218,Sapopemba
HOSPITAL ESTADUAL IPIRANGA,Hospital,Estadual,"AV. NAZARÉ, 28",IPIRANGA,04262-000,2067-7799,-46.611574,-23.58420901,Ipiranga
HOSPITAL ESTADUAL HELIÓPOLIS,Hospital,Estadual,"R. CÔNEGO XAVIER, 276",CIDADE NOVA HELIOPOLIS,04231-030,2274-7600,-46.593611,-23.60856702,Sacomã
HOSPITAL ESTADUAL EURYCLIDES DE JESUS ZERBINI,Hospital,Estadual,"AV. BRIGADEIRO LUIS ANTONIO, 2651",JARDIM PAULISTA,01401-901,3170-6329,-46.6515634,-23.57001732,Jardim Paulista
HOSPITAL ESTADUAL E MATERNIDADE LEONOR MENDES DE BARROS,Hospital,Estadual,"AV. CELSO GARCIA, 2477",BELENZINHO,03015-000,2847-7000,-46.58847243,-23.5361218,Belém
HOSPITAL ESTADUAL DO MANDAQUI,Hospital,Estadual,"R. VOLUNTARIOS DA PATRIA, 4301",SANTANA,02401-400,2281-5000 / 2281-5051,-46.631433,-23.48405802,Santana
HOSPITAL ESTADUAL DO GRAJAU - PROF LIBER JOHN ALPHONSE DI DIO,Hospital,Estadual,"R. FRANCISCO OCTAVIO PACCA, 180",PARQUE DAS NACOES,04822-030,3544-9443 / 3544-9444 R:322,-46.690774,-23.72927901,Grajaú
HOSPITAL ESTADUAL DE VILA PENTEADO - DR JOSE PANGELLA,Hospital,Estadual,"AV. MINISTRO PETRONIO PORTELA, 1642",JD IRACEMA,02802-120,3976-9911,-46.695,-23.48535002,Freguesia do Ó
HOSPITAL ESTADUAL DE VILA NOVA CACHOEIRINHA,Hospital,Estadual,"AV. DEPUTADO EMILIO CARLOS, 3000",VL NOVA CAHOEIRINHA,02720-200,3859-4822,-46.672497,-23.48152402,Cachoeirinha
HOSPITAL ESTADUAL DE VILA ALPINA,Hospital,Estadual,"AV. FRANCISCO FALCONI, 1501",VILA ALPINA,03227-000,2318-2100,-46.56157,-23.59335301,Vila Prudente
HOSPITAL ESTADUAL DE TAIPAS - KATIA DE SOUZA RODRIGUES,Hospital,Estadual,"AV. ELISIO TEIXEIRA LEITE, 6999",PARADA DE TAIPAS,02810-000,3973-0400 / 3973-0416,-46.717665,-23.44366501,Jaraguá
HOSPITAL ESTADUAL DE SAPOPEMBA,Hospital,Estadual,"R. MANOEL FRANCA DOS SANTOS, 174",JARDIM SAPOPEMBA,03975-130,2014-6000,-46.493075,-23.61067702,Sapopemba
HOSPITAL ESTADUAL DE SÃO MATEUS - MANOEL BIFULCO,Hospital,Estadual,"R. ANGELO DE CANDIA, 540",SAO MATEUS,03958-000,2014-5148,-46.486287,-23.59511601,São Mateus
HOSPITAL ESTADUAL DE PEDREIRA,Hospital,Estadual,"R. JOÃO FRANCISCO DE MOURA, 251",VILA CAMPO GRANDE,04455-170,5613-5900,-46.676783,-23.68172802,Campo Grande
HOSPITAL ESTADUAL DE ITAIM PAULISTA,Hospital,Estadual,"AV. MARECHAL TITO, 6035",ITAIM PAULISTA,08115-100,2563-6300,-46.388622,-23.49253602,Itaim Paulista
HOSPITAL ESTADUAL DE GUAIANASES - JESUS TEIXEIRA DA COSTA,Hospital,Estadual,"AV. MIGUEL ACHIOLE DA FONSECA, 1092",JARDIM SAO PAULO,08461-110,2257-6972,-46.405494,-23.55268301,Guaianases
HOSPITAL ESTADUAL DANTE PAZZANESE,Hospital,Estadual,"AV. DR DANTE PAZZANESE, 500",IBIRAPUERA,04012-180,5549-1538,-46.652133,-23.58465902,Moema
HOSPITAL DAS CLINICAS - HC DA FMUSP,Hospital,Estadual,"R. DR OVIDIO PIRES DE CAMPOS, 225",CERQUEIRA CESAR,05403-010,2661-0000 / 3087-5456,-46.669658,-23.55778801,Jardim Paulista
HOSPITAL CANTAREIRA,Hospital,Privado,"AV. NOVA CANTAREIRA, 3050",TUCURUVI,02340-000,2203-3222,-46.61585,-23.47309402,Tucuruvi
HOSPITAL AMPARO MATERNAL,Hospital,Privado,"R. LOEFGREEN, 1901",VILA CLEMENTINO,04040-032,5089-8277,-46.643526,-23.59994402,Saúde
CAISM- DR DAVI CAPISTRANO - HOSP EST AGUA FUNDA,Hospital,Estadual,"AV. MIGUEL STEFANO, 3030",AGUA FUNDA,04301-002,5077-7893,-46.631841,-23.65155201,Jabaquara
UNIDADE TUCURUVI CIES,Hospital Geral,Privado,"AV. TUCURUVI, 808",TUCURUVI,02304-002,,-46.60437305,-23.4814355,Tucuruvi
UNIDADE SAO MATEUS CIES,Hospital Geral,Privado,"AV. RAGUEB CHOHFI, 730",JARDIM TRES MARIAS,08375-000,,-46.47173199,-23.60671332,São Mateus
UNIDADE ITAQUERA CIES,Hospital Geral,Privado,"AV. OSVALDO VALLE CORDEIRO, 245",JD BRASILIA,03584-000,,-46.492004,-23.55482102,Cidade Líder
UNIDADE HD SANTO AMARO CIES,Hospital Geral,Privado,"R. PADRE JOSÉ MARIA, 555",SANTO AMARO,04753-060,,-46.709468,-23.65493002,Santo Amaro
UNIDADE HD PIRITUBA CIES,Hospital Geral,Privado,"R. CELSO VIEIRA, 205",VILA PEREIRA BARETO,02919-100,,-46.717351,-23.49203201,Pirituba
UNIDADE HD CARRAO CIES,Hospital Geral,Privado,"R. ODETE GOMES BARRETO, 419",VILA CARRAO,03441-010,,-46.53857417,-23.5456576,Carrão
UNIDADE CIDADE DE TIRADENTES CIES,Hospital Geral,Privado,"AV. DOS METALURGICOS, 1797",CIDADE TIRADENTES,08471-000,,-46.40411,-23.59734102,Cidade Tiradentes
UNIDADE BRASILANDIA CIES,Hospital Geral,Privado,"AV. TUCURUVI, 808",TUCURUVI,02304-002,,-46.60408,-23.48146001,Tucuruvi
UNIDADE AE SANTO AMARO CIES,Hospital Geral,Privado,"AV. SANTO AMARO, 6781",SANTO AMARO,04701-100,,-46.69801742,-23.64011914,Santo Amaro
PAM VARZEA DO CARMO NGA - 63,Hospital Geral,Estadual,"R. LEOPOLDO MIGUEZ, 327",CAMBUCI,01518-020,3385-7000,-46.625604,-23.55701601,Cambuci
HOSPITAL DIA PENHA - HATIRO SHIMOMOTO,Hospital Geral,Municipal,"PRAÇA NOSSA SENHORA DA PENHA, 55",PENHA,03632-010,2092-8154,-46.550441,-23.52646002,Penha
HOSPITAL DIA - VILA PRUDENTE,Hospital Geral,Municipal,"PRAÇA DO CENTENÁRIO DE VILA PRUDENTE, 108",VL PRUDENTE,03132-050,2274-2523,-46.583095,-23.58197402,Vila Prudente
HOSPITAL DIA - VILA GUILHERME,Hospital Geral,Municipal,"R. JOÃO VENTURA BATISTA, 615",VILA GUILHERME,02054-100,2901-5883,-46.604867,-23.51628002,Vila Guilherme
HOSPITAL DIA - SÃO MIGUEL DR TITO LOPES DA SILVA,Hospital Geral,Municipal,"R. JOÃO AUGUSTO DE MORAIS, 348",SÃO MIGUEL PAULISTA,08010-150,2956-8122,-46.440799,-23.49665001,São Miguel
HOSPITAL DIA - SÃO MATEUS DR HENRIQUE C GONCALVES,Hospital Geral,Municipal,"R. SENADOR MAINARD GOMES, S/N",JD TIETE,03948-000,2017-5530 / 2297-4162,-46.4899206,-23.59296781,São Mateus
HOSPITAL DIA - SANTO AMARO,Hospital Geral,Municipal,"AV. ADOLFO PINHEIRO, 339",SANTO AMARO,04753-060,5555-6767,-46.704137,-23.64974701,Santo Amaro
HOSPITAL DIA - MOOCA,Hospital Geral,Municipal,"R. FAROL PAULISTANO, 410",ALTO DA MOOCA,03192-060,2021-4087 / 2021-7210,-46.575467,-23.57093002,Água Rasa
HOSPITAL DIA - M BOI MIRIM II - VERA CRUZ,Hospital Geral,Municipal,"AV. DOS FUNCIONARIOS PUBLICOS, 379",JARDIM VERA CRUZ,04962-000,5898-5900 / 5898-5923,-46.783469,-23.73350702,Jardim Ângela
HOSPITAL DIA - M BOI MIRIM I - JARDIM IBIRAPUERA,Hospital Geral,Municipal,"R. PHILIPE DE VITRY, 280",JD SANTA JOSEFINA,05819-080,2540-4444,-46.736533,-23.66666902,Jardim São Luís
HOSPITAL DIA - ITAIM PAULISTA,Hospital Geral,Municipal,"AV. MARECHAL TITO, 6577",ITAIM PAULISTA,08115-100,4780-5046,-46.386087,-23.48933701,Itaim Paulista
HOSPITAL DIA - FLAVIO GIANNOTTI,Hospital Geral,Municipal,"R. XAVIER DE ALMEIDA, 210",IPIRANGA,04211-000,2062-7236,-46.608734,-23.58729002,Ipiranga
HOSPITAL DIA - CIDADE ADEMAR,Hospital Geral,Municipal,"R. CORREGO AZUL, 433",PEDREIRA,04463-010,5555-8594,-46.659879,-23.69557501,Pedreira
HOSPITAL DIA - CAMPO LIMPO - JARDIM PIRAJUSSARA,Hospital Geral,Municipal,"AV. AMADEU DA SILVA SAMELO, 423",JARDIM MARTINICA,05760-140,5843-5858 / 5841-9911,-46.766154,-23.63152801,Campo Limpo
HOSPITAL DIA - BUTANTÃ,Hospital Geral,Municipal,"R. JOÃO GUERRA, 247",JD PERI PERI,05535-100,3744-8037,-46.732112,-23.58660001,Butantã
HOSPITAL DIA - BRASILANDIA FO,Hospital Geral,Municipal,"R. RUI DE MORAIS APOCALIPSE, 2",JD. DO TIRO,02842-260,3923-6447 / 3923-6404,-46.683939,-23.47323202,Brasilândia
INSTITUTO DO CORAÇÃO - INCOR HC/FMUSP,Hospital Especializado,Estadual,"AV. DR ENEAS DE CARVALHO AGUIAR, 44",CERQUEIRA CESAR,05403-000,2661-5000,-46.668253,-23.55679601,Jardim Paulista
INSTITUTO DO CÂNCER DO ESTADO DE SÃO PAULO,Hospital Especializado,Estadual,"AV. DR ARNALDO, 251",CERQUEIRA CESAR,01246-000,3893-2000,-46.668938,-23.55526602,Jardim Paulista
INSTITUTO DO CANCER ARNALDO VIEIRA DE CARVALHO,Hospital Especializado,Privado,"R. DR. CESARIO MOTTA JUNIOR, 112",VILA BUARQUE,01221-020,3367-3844,-46.650121,-23.54268302,Consolação
INSTITUTO DE REABILITAÇÃO LUCY MONTORO,Hospital Especializado,Estadual,"R. JANDIATUBA, 580",VILA ANDRADE,05716-150,3905-8300,-46.735387,-23.63237102,Vila Andrade
INSTITUTO DE PSIQUIATRIA - HC/FMUSP,Hospital Especializado,Estadual,"R. DR OVÍDIO PIRES DE CAMPOS, 785",CERQUEIRA CESAR,05403-010,3087-5456,-46.667093,-23.55804901,Jardim Paulista
HOSPITAL MUNICIPAL INFANTIL MENINO JESUS,Hospital Especializado,Municipal,"R. DOS INGLESES, 258",BELA VISTA,01329-000,3016-0500,-46.647347,-23.56018302,Bela Vista
HOSPITAL MILITAR DE AREA DE SÃO PAULO,Hospital Especializado,Federal,"R. OUVIDOR PORTUGAL, 230",CAMBUCI,01551-000,,-46.613521,-23.56966101,Cambuci
HOSPITAL ESTADUAL PSIQUIÁTRICO DE VILA MARIANA,Hospital Especializado,Estadual,"R. MAJOR MARAGLIANO, 241",VILA MARIANA,04017-030,3466-2100,-46.638365,-23.58814602,Vila Mariana
HOSPITAL ESTADUAL INFANTIL DARCY VARGAS,Hospital Especializado,Estadual,"R. DR SERAFICO DE ASSIS CARVALHO, 34",JARDIM GUEDALA,04024-002,3723-3700,-46.710893,-23.59284502,Morumbi
HOSPITAL ESTADUAL INFANTIL CANDIDO FONTOURA,Hospital Especializado,Estadual,"R. SIQUEIRA BUENO, 1757",AGUA RASA,03173-010,2603-5300,-46.585229,-23.55189901,Belém
HOSPITAL ESTADUAL - INST INFECTOLOGIA EMILIO RIBAS,Hospital Especializado,Estadual,"AV. DR ARNALDO, 165",CERQUEIRA CESAR,01246-000,3896-1200,-46.667538,-23.55577802,Jardim Paulista
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL - HSPM,Hospital Especializado,Municipal,"R. CASTRO ALVES, 60",LIBERDADE,01532-000,3397-7700,-46.639002,-23.56726602,Liberdade
