codigo,nome,endereco,descricao,longitude,latitude,distrito
5914521,"R. TOMASO GIORDANI , 306",COIMBRA,COIMBRA,-46.629318,-23.69875902,Pedreira
80014567,"AV. CDSSA. ELISABETH DE ROBIANO , 454",AV SALIM FARAH MALUF/ R JUVENAL GOMES COIMBRA,AV SALIM FARAH MALUF/ R JUVENAL GOMES COIMBRA,-46.592946,-23.53064902,Belém
790016159,"AV. FAGUNDES FILHO , 900",GUSTAVO NARKEVITZ/ R SEBASTIAO GUIMARAES CORREA,R GUSTAVO NARKEVITZ/ R SEBASTIAO GUIMARAES CORREA,-46.632898,-23.62648702,Saúde
750006126,"AV. MATEO BEI , 3484",DOUTOR FELICE BUSCAGLIA/ R ERNESTO MANOGRASSO,R DOUTOR FELICE BUSCAGLIA/ R ERNESTO MANOGRASSO,-46.476386,-23.61086402,São Mateus
7404952,"R. CURUAÉS , 189",,,-46.540173,-23.59083802,São Lucas
8312714,"R. MATEUS GARCIA , 585",LUIZ ARNONI,R   LUIZ ARNONI,-46.623706,-23.45346502,Tremembé
340015737,"AV. STO. AMARO , 4673",JOAQUIM NABUCO/ R PASSAROS E FLORES (B/C - Parada 2),R JOAQUIM NABUCO/ R PASSAROS E FLORES (B/C - Parada 2),-46.685628,-23.62401402,Itaim Bibi
650005683,"AV. CALIM EID , 1872",SAO SERAPIAO/ R ORLANDO NASCIMENTO DOS SANTOS,R SAO SERAPIAO/ R ORLANDO NASCIMENTO DOS SANTOS,-46.495509,-23.52161202,Penha
50007360,"R. PE. JOSÉ VIEIRA DE MATOS , 178",PADRE CLAUDIO GOMES/ R PADRE FRANCISCO RIBEIRO,R PADRE CLAUDIO GOMES/ R PADRE FRANCISCO RIBEIRO,-46.479691,-23.54496502,Artur Alvim
7504890,"R. FORTE DO RIO BRANCO , 854",UA FORTE DO TRIUNFO,RUA FORTE DO TRIUNFO,-46.461838,-23.60379502,São Mateus
800016522,"TERM. PARQUE DOM PEDRO II - PLAT 04 , 0",AV DO ESTADO/ VDTO ANTONIO NAKASHIMA - (PMV - 33),AV DO ESTADO/ VDTO ANTONIO NAKASHIMA - (PMV - 33),-46.630176,-23.54687602,Sé
680010794,"R. PROFA. ABIGAIL ALVES PIRES , 356",PAULINO BAPTISTA CONTI/ R PROFESSOR JOAO DIAS DA SILVEIRA,R PAULINO BAPTISTA CONTI/ R PROFESSOR JOAO DIAS DA SILVEIRA,-46.76232,-23.57597902,Rio Pequeno
300009275,"AV. PAULO GUILGUER REIMBERG , 1666",UA  RIO SÃO NICOLAU - SENTIDO C/B,RUA  RIO SÃO NICOLAU - SENTIDO C/B,-46.703332,-23.77333102,Grajaú
40012598,"AV. JOÃO XXIII , 961",NOSSA SENHORA DAS DORES/ R MEDEIROS FURTADO,R NOSSA SENHORA DAS DORES/ R MEDEIROS FURTADO,-46.532092,-23.57208102,Aricanduva
640001404,"AV. GEN. EDGAR FACÓ , 893",AV PAULA FERREIRA/ TV CLOVIS LEITE RIBEIRO,AV PAULA FERREIRA/ TV CLOVIS LEITE RIBEIRO,-46.70709,-23.49838902,Pirituba
380004230,"AV. PAULO LINCOLN DO VALLE PONTIN , 302",ALCY BORGES DOS SANTOS/ R ANGELO ALOISIO,R ALCY BORGES DOS SANTOS/ R ANGELO ALOISIO,-46.585795,-23.46121702,Jaçanã
350002353,"R. MAXIMIANO CORRÊA DOS SANTOS , 160",JOAO MISSEL GIGANTE/ R MANUEL LEMES DA SILVA,R JOAO MISSEL GIGANTE/ R MANUEL LEMES DA SILVA,-46.376723,-23.49432702,Itaim Paulista
220013672,"R. SEBASTIÃO AFONSO , 897",AL DOUTOR SILVIO DE CAMPOS/ R FRANCISCO DE ALVARENGA,AL DOUTOR SILVIO DE CAMPOS/ R FRANCISCO DE ALVARENGA,-46.637517,-23.68069902,Cidade Ademar
508327,"R. PE. JERÔNIMO MACHADO , 61",PE.  JOSE VIEIRA DE MATOS,R PE.  JOSE VIEIRA DE MATOS,-46.481492,-23.54301502,Artur Alvim
7203263,"AV. STO. AMARO , 6891",LADO DIREITO DA PISTA,LADO DIREITO DA PISTA,-46.69832,-23.64024802,Santo Amaro
5601317,"AV. NOEL NUTELS , 911",UA FLOR DE MARACUJA,RUA FLOR DE MARACUJA,-46.714753,-23.85563002,Parelheiros
270016206,"R. DR. PLÍNIO AMARAL , 39",CONEGO JOSE NORBERTO/ R APEU,R CONEGO JOSE NORBERTO/ R APEU,-46.610659,-23.61210902,Cursino
250005807,"AV. NASCER DO SOL , 319",EDSON DANILLO DOTTO/ R DONA ELOA DO VALLE QUADRO,R EDSON DANILLO DOTTO/ R DONA ELOA DO VALLE QUADRO,-46.410652,-23.59008502,Cidade Tiradentes
5808206,"R. SHINZABURO MIZUTANI , 461",UA ADOLFO BRUNE / OPOSTO CONJUNTO RESIDENCIAL,RUA ADOLFO BRUNE / OPOSTO CONJUNTO RESIDENCIAL,-46.451002,-23.56211902,Parque do Carmo
560009243,"TERM. VARGINHA , 0",AV PAULO GUILGUER REIMBERG/ R RUBEN DARIO - Terminal Varginha - PMV 07,AV PAULO GUILGUER REIMBERG/ R RUBEN DARIO - Terminal Varginha - PMV 07,-46.71637,-23.76721502,Parelheiros
6311409,"R. HEITOR PENTEADO , 507",ua Miranda Montenegro,Rua Miranda Montenegro,-46.684241,-23.54961802,Pinheiros
400010393,"AV. DR. FRANCISCO DE P. V. DE AZEVEDO , 0",EVA TERPINS/ AV LEAO MACHADO,R EVA TERPINS/ AV LEAO MACHADO,-46.758753,-23.54831902,Jaguaré
9505653,"AV. PROF. LUIZ IGNÁCIO ANHAIA MELLO , 650",,,-46.587747,-23.58550902,Vila Prudente
4114576,"R. ARACY RONDON AMARANTE , 222",,,-46.747158,-23.43608002,Jaraguá
640000339,"AV. RAIMUNDO PEREIRA DE MAGALHÃES , 3748",LORD CLEMENT ATTLEE/ R PEDRO MARIGLIANI,R LORD CLEMENT ATTLEE/ R PEDRO MARIGLIANI,-46.730589,-23.49455602,Pirituba
120015887,"AV. ESCOLA POLITÉCNICA , 0",AV PROFESSOR MELLO DE MORAIS/ AV TORRES DE OLIVEIRA,AV PROFESSOR MELLO DE MORAIS/ AV TORRES DE OLIVEIRA,-46.732394,-23.55196502,Butantã
1814704,"R. ROIZ BARROS , 256",EMEF CECILIA MEIRELES,EMEF CECILIA MEIRELES,-46.52718,-23.50247902,Cangaíba
509091,"R. JOSÉ FRANCISCO LOPES , 199",UA DR. JOÃO PRIORE,RUA DR. JOÃO PRIORE,-46.498335,-23.54531902,Artur Alvim
590013777,"R. EDUARDO CINELLI , 98",BENTO JOSE BORBA/ R BELARMINO BELISARIO DE ARAUJO,R BENTO JOSE BORBA/ R BELARMINO BELISARIO DE ARAUJO,-46.647453,-23.69448102,Pedreira
3609109,"TERM. METRÔ ITAQUERA PL. A , 0",,,-46.47067,-23.54193202,Itaquera
3407187,"R. BRIG. HAROLDO VELOSO , 0",OPOSTO À R. JACURICI -- PARQUE DO POVO,OPOSTO À R. JACURICI -- PARQUE DO POVO,-46.688233,-23.58579502,Itaim Bibi
4203827,"R. CLAUDIO MANOEL , 47",BOCAINA DE MINAS,R. BOCAINA DE MINAS,-46.768701,-23.68955602,Jardim Ângela
3407126,"AV. ENG. LUIZ CARLOS BERRINI , 427",UA MAÇAMBARA/RUA RIO DA PRATA,RUA MAÇAMBARA/RUA RIO DA PRATA,-46.691232,-23.60079702,Itaim Bibi
4203767,"ESTR. DO M BOI MIRIM , 5918",,,-46.779794,-23.69526102,Jardim Ângela
610016838,"AV. PROF. ALFONSO BOVERO , 52",AV DOUTOR ARNALDO/ R PIRACICABA,AV DOUTOR ARNALDO/ R PIRACICABA,-46.681992,-23.54470602,Perdizes
400010386,"AV. ANTONIO DE SOUZA NOSCHESE , 430",CUSTODIO SAMPAIO PEREIRA/ R ANTONIO TEIXEIRA DE AZEVEDO FILHO,R CUSTODIO SAMPAIO PEREIRA/ R ANTONIO TEIXEIRA DE AZEVEDO FILHO,-46.756658,-23.54345502,Jaguaré
3812796,"R. BASÍLIO ALVES MORANGO , 1495",HINTEM MARTINS / R. JORGE NEWBERY,R. HINTEM MARTINS / R. JORGE NEWBERY,-46.565857,-23.48014702,Jaçanã
450011607,"ESTR. DO M BOI MIRIM , 2178",ALFREDO CABRAL DE OLIVEIRA/ R DOUTOR ARTUR MOREIRA DE ALMEIDA,R ALFREDO CABRAL DE OLIVEIRA/ R DOUTOR ARTUR MOREIRA DE ALMEIDA,-46.752533,-23.67575802,Jardim São Luís
490017014,"R. BUENO DE ANDRADE , 769",UA DOM RAIMUNDO BRITO,RUA DOM RAIMUNDO BRITO,-46.630192,-23.56668102,Liberdade
230009612,"R. FREDERICO RENÉ DE JAEGHER , 2026",JOAO LEAO GARCIA/ R MENINO JESUS DE PRAGA,R JOAO LEAO GARCIA/ R MENINO JESUS DE PRAGA,-46.715736,-23.72666602,Cidade Dutra
220013683,"R. PE. ANTÔNIO DE GOUVEIA , 62",TR UM/ TR ANAMBE PRETO,TR UM/ TR ANAMBE PRETO,-46.640142,-23.67809802,Cidade Ademar
640003380,"R. SILVÉRIO DE CASTRO SOUZA , 321",UA JOAQUIM NUNES,RUA JOAQUIM NUNES,-46.717068,-23.45276702,Pirituba
3609131,"R. ARREIO DE PRATA , 8",PÁSSARO PRETO/ R CHUVA E SOL,R PÁSSARO PRETO/ R CHUVA E SOL,-46.459908,-23.52519302,Itaquera
290001409,"R. ENÉAS LUÍS CARLOS BARBANTI , 277",JULIO DE LAMARE/ R DR. JOSE PANGELLA,R JULIO DE LAMARE/ R DR. JOSE PANGELLA,-46.696674,-23.50413302,Freguesia do Ó
5013428,"AV. CASA VERDE , 3521",AV. PROF. CELESTINO BOURROUL / AV. ENG. CAETANO ALVARES,AV. PROF. CELESTINO BOURROUL / AV. ENG. CAETANO ALVARES,-46.672554,-23.50697702,Limão
660015835,"ROD. RAPOSO TAVARES , 0",AGOSTINHO DE AZEVEDO/ ACESSO A RUA JOAQUIM LAPAS VEIGA - Próx. Carrefour,R AGOSTINHO DE AZEVEDO/ ACESSO A RUA JOAQUIM LAPAS VEIGA - Próx. Carrefour,-46.779594,-23.58399102,Raposo Tavares
6508818,"R. EVARISTO EMILIANO BUENO , 37",UA AGENOR DE BARROS,RUA AGENOR DE BARROS,-46.488954,-23.50878202,Ponte Rasa
