nome,programa,esfera,endereco,longitude,latitude,distrito
CAMPO LIMPO,BOM PRATO,ESTADUAL,"Estrada de Itapecerica, 4728",-46.77341472,-23.65959462,Capão Redondo
CAPAO REDONDO,BOM PRATO,ESTADUAL,"Avenida Atos Tomas Ferraciu, 318",-46.76992453,-23.67130035,Capão Redondo
PARAISOPOLIS,BOM PRATO,ESTADUAL,"Rua Ernest Renam, 1000",-46.72450019,-23.61294573,Vila Andrade
CIDADE DUTRA,BOM PRATO,ESTADUAL,"Av. Ogum, 252",-46.69744552,-23.77700609,Grajaú
GRAJAU/CIDADE DUTRA,BOM PRATO,ESTADUAL,"Rua Anibal dos Anjos Carvalho, 51",-46.69802704,-23.71183897,Cidade Dutra
VILA NOVA CACHOEIRINHA,BOM PRATO,ESTADUAL,"Avenida Deputado Cantidio Sampaio, 140",-46.67100956,-23.47332683,Brasilândia
LIMAO,BOM PRATO,ESTADUAL,"Avenida Prof. Celestino Bourrol, 779",-46.67400127,-23.50674532,Limão
CIDADE ADEMAR,BOM PRATO,ESTADUAL,"Avenida Yervant Kissajikian, 3101",-46.65273372,-23.68147494,Cidade Ademar
REFEITORIO CIDADE TIRADENTES,BOM PRATO,ESTADUAL/MUNICIPAL,"Rua Edson Danillo Dotto, 39",-46.40890509,-23.58868572,Cidade Tiradentes
BRASILANDIA,BOM PRATO,ESTADUAL,"Avenida Parapua, 1479",-46.69161371,-23.47245782,Brasilândia
GUAIANASES,BOM PRATO,ESTADUAL,"Rua Copenhague, 100",-46.41226561,-23.54294092,Lajeado
HELIOPOLIS,BOM PRATO,ESTADUAL,"Estrada das Lagrimas, 2608",-46.59155842,-23.62328354,Sacomã
ITAIM PAULISTA,BOM PRATO,ESTADUAL,"Rua Alfredo Moreira Pinto, 87",-46.40018391,-23.49946884,Itaim Paulista
ITAQUERA,BOM PRATO,ESTADUAL,"Rua Victorio Santim, 247",-46.45257924,-23.53783959,Itaquera
LAPA,BOM PRATO,ESTADUAL,"Rua Afonso Sardinha, 245",-46.70627765,-23.52261668,Lapa
M'BOI MIRIM,BOM PRATO,ESTADUAL/MUNICIPAL,"Avenida Inacio Dias da Silva, s/n�",-46.7424656,-23.67364496,Jardim São Luís
BRAS,BOM PRATO,ESTADUAL,"Avenida Rangel Pestana, 2327",-46.61363416,-23.54059292,Brás
REFEITORIO CANINDE,BOM PRATO,ESTADUAL/MUNICIPAL,"R. Carnot, 900",-46.62130692,-23.52660499,Pari
PARELHEIROS,BOM PRATO,ESTADUAL/MUNICIPAL,"Rua Pedro Klein do Nascimento, 70",-46.72652584,-23.52547324,Vila Leopoldina
PERUS,BOM PRATO,ESTADUAL,"Rua Antonio Maia, 652",-46.75456033,-23.40690316,Perus
SANTANA,BOM PRATO,ESTADUAL,"Rua Alfredo Guedes, 92",-46.62532986,-23.50656493,Santana
TUCURUVI,BOM PRATO,ESTADUAL,"Avenida Nova Cantareira, 2099",-46.61139063,-23.47885966,Tucuruvi
SANTO AMARO,BOM PRATO,ESTADUAL,"Avenida Mario Lopes Leao, 685",-46.71220941,-23.65183786,Santo Amaro
SAO MATEUS,BOM PRATO,ESTADUAL,"Avenida Mateo Bei, 2604",-46.48135449,-23.60440256,São Mateus
SAO MIGUEL PAULISTA,BOM PRATO,ESTADUAL,"Rua Jose Otoni, 256",-46.43891824,-23.49184637,São Miguel
REFEITORIO MAUA,BOM PRATO,ESTADUAL/MUNICIPAL,"Rua Maua, 66",-46.6395147,-23.53529991,República
25 DE MARCO,BOM PRATO,ESTADUAL,"Rua Vinte e Cinco de Marco, 166",-46.63060368,-23.5479823,Sé
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Pelicano, 125 - Jardim Monte Belo, CEP: 05270-280",-46.8015025,-23.44948752,Anhanguera
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Estrada das Taipas, 1940 - CEP: 02991-000",-46.73250869,-23.44080608,Jaraguá
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Gervásio Leite Rebelo, 1073 - Jardim Peri - CEP: 02675-050",-46.67351266,-23.45690302,Cachoeirinha
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Praça Dom Helvécio Gomes de Oliveira, 2 - Jardim Peri - CEP: 02633-010",-46.65426873,-23.46444325,Cachoeirinha
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Avenida Zaki Narchi, 629 - Carandiru - CEP: 02029-000",-46.62120106,-23.51062949,Santana
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Avenida Alfredo Ávila, 05 - Casa 01 - Vila Nilo, CEP: 02279-010",-46.57376224,-23.45853367,Jaçanã
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Itamotinga, 100 - Paraíso do Morumbi, CEP: 05706-320",-46.72505844,-23.6191815,Vila Andrade
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua dos Piemonteses, 841 - Jardim do lago Butantã, CEP: 05550-070",-46.78313676,-23.58310092,Raposo Tavares
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Laudelino Goncalves, 197 - Jd. Maria Lúcia, CEP: 05367-010",-46.75648575,-23.57136574,Rio Pequeno
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Barão de Antonina, 6 - Bairro Jaguaré, CEP: 05329-040",-46.74430193,-23.53927734,Jaguaré
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Largo da Batata, Pinheiros (Praça), CEP: 01451-000",-46.69478693,-23.56709735,Pinheiros
-,REDE COZINHA CIDADÃ,MUNICIPAL,"MEPSR - Rua General Carneiro, 175 - Centro Histórico, CEP: 01015-000",-46.63293495,-23.54662709,Sé
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Capitão Francisco Teixeira Nogueira, 142 - CEP: 05037-030",-46.68891371,-23.5125796,Barra Funda
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Prates, 165 - Bom Retiro, São Paulo - SP, CEP: 01121-000",-46.63697141,-23.53238437,Bom Retiro
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Kampala, 20 - Penha de França, CEP: 03704-015",-46.55325465,-23.51648054,Penha
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Tenente Godofredo Cerqueira Leite, 25 - Bairro Fazenda da Juta, CEP: 03977-000",-46.49793608,-23.61441031,Sapopemba
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Sargento Hermínio Aurélio Sampaio, 745 - Fazenda da Juta, CEP: 03977-220",-46.49274587,-23.62145925,Sapopemba
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Japichaua, 596 - Jardim Matarazzo, CEP: 03813-310",-46.46668042,-23.48331848,Vila Jacuí
-,REDE COZINHA CIDADÃ,MUNICIPAL,"R. Plácido Parreira Lima, 600 - Vila Curuçá - São Paulo - SP, CEP: 08151-110",-46.4068012,-23.5192489,Vila Curuçá
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Morro das Pedras, 206 - São Mateus, CEP: 08310-100",-46.45567165,-23.63405248,São Rafael
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Avenida Souza Ramos, 513 - CEP: 08490-490",-46.41006299,-23.58170743,Cidade Tiradentes
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Estrada Sete Cruzes, s/n - Referência CEP: 08471-500",-46.39941765,-23.60571326,Cidade Tiradentes
-,REDE COZINHA CIDADÃ,MUNICIPAL,"Rua Caprichoso Italiano, 20 - Jd São Luís, CEP: 05833-180",-46.76153918,-23.6689798,Jardim São Luís
