nome,regiao,endereco,suporte_basico,suporte_basico_enfermeiro,suporte_avancado,motolancia,longitude,latitude,distrito
Hungria,NORTE,"Avenida Menotti Laudisio, 100",Sim,Sim,Não,Sim,-46.727603,-23.48466702,Pirituba
EB - Estação de Bombeiro Pirituba,NORTE,"Rua Monsenhor Castro Nery, 150",Não,Não,Sim,Não,-46.738523,-23.49092902,São Domingos
EB - Estação de Bombeiro Mooca,SUDESTE,"Rua Dr João Inácio Teixeira, 91",Não,Sim,Sim,Não,-46.5855,-23.55804702,Água Rasa
Parelheiros,SUL,"Rua Euzebio Coghi, 841",Sim,Não,Não,Não,-46.726476,-23.82332202,Parelheiros
Parque CERET,SUDESTE,"Rua Canuto Abreu, s/n, Tatuapé",Não,Não,Não,Sim,-46.559709,-23.55567702,Vila Formosa
UPA Jaçanã,NORTE,"Rua Estér Elisa, s/n",Sim,Não,Não,Não,-46.57967,-23.45932402,Jaçanã
UPA Jardim Helena,LESTE,"Avenida Kumaki Aoki, 785, Jardim Helena",Sim,Não,Não,Sim,-46.419559,-23.47908002,Jardim Helena
UBS Jardim das Oliveiras,LESTE,"Rua José Da Cruz Camargo, 174",Sim,Sim,Não,Não,-46.380043,-23.49498802,Itaim Paulista
CAPS Largo 13,SUL,"Rua Paula Cruz, 71",Sim,Não,Não,Sim,-46.715816,-23.65090302,Santo Amaro
Cidade Universitária - USP,OESTE,"Avenida Professor Almeida Prado, 1280",Sim,Sim,Sim,Sim,-46.742702,-23.55981602,Butantã
UPA Tito Lopes,LESTE,"Avenida Pires Do Rio, 228",Sim,Não,Não,Não,-46.442414,-23.49831202,São Miguel
Nove de Julho,NORTE,"Rua Avanhandava, 521",Não,Não,Não,Sim,-46.64846,-23.55264402,Bela Vista
Jardim Colombo,OESTE,"Rua Frei Bonifacio Dux, 40",Não,Não,Não,Sim,-46.72822,-23.60168202,Vila Sônia
AMA Capao Redondo,SUL,"Avenida Comendador Santanna, 774",Sim,Não,Não,Não,-46.77385,-23.67375002,Capão Redondo
