nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
AMBULATORIO DE SAUDE MENTAL - CENTRO,SEM TIPO,Estadual,"R. CARLOS COMENALE, 32",BELA VISTA,01332-030,3544-1800,-46.654565,-23.56158602,Bela Vista
CAPS AD II CANGAIBA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. ZUMBI, 258",VILA MESQUITA,03714-010,2289-0390,-46.54248,-23.50979402,Cangaíba
CAPS AD II CIDADE ADEMAR,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"ESTRADA DO ALVARENGA, 537",JARDIM PEDREIRA,04462-000,5615-3377,-46.668158,-23.69581902,Pedreira
CAPS AD II ERMELINO MATARAZZO,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. JOÃO ANTONIO ANDRADE, 804",PARQUE BOTURUSSU,03805-070,2943-9276,-46.479117,-23.50087601,Ermelino Matarazzo
CAPS AD II GUAIANASES,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. PROFESSOR FRANCISCO PINHEIRO, 139",GUAIANASES,08410-020,2553-2240 / 2553-2281,-46.413691,-23.54493502,Guaianases
CAPS AD II JABAQUARA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"PRAÇA BARÃO DE JAPURÁ, 1",VL GUARANI,04313-160,5011-1583,-46.63955,-23.63755201,Jabaquara
CAPS AD II JARDIM NÉLIA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. SARGENTO MANUEL ALBOZ, 137",JARDIM NÉLIA,08120-150,4810-4110 / 2561-8085,-46.395631,-23.50309901,Itaim Paulista
CAPS AD II MOOCA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. JAIBARÁS, 251",MOOCA,03163-040,2694-6364,-46.597055,-23.54761601,Mooca
CAPS AD II PINHEIROS,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. NICOLAU GAGLIARDI, 439",PINHEIROS,05429-010,3816-3959,-46.700475,-23.56124602,Pinheiros
CAPS AD II SACOMÃ,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. DO GRITO, 635",IPIRANGA,04217-000,2296-0105,-46.598636,-23.59873902,Ipiranga
CAPS AD II SANTO AMARO,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. BELA VISTA, 269",SANTO AMARO,04709-000,5523-3566,-46.691132,-23.63401602,Santo Amaro
CAPS AD II SAPOPEMBA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. DAS ESTERLINAS, 142",PARQUE DOS BANCARIOS,03922-120,2012-4129 / 2011-8159,-46.516392,-23.59568301,Sapopemba
CAPS AD II VILA MADALENA PROSAM,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. HEITOR PENTEADO, 1448",SUMARÉ,05438-100,3862-1385,-46.691836,-23.54545702,Perdizes
CAPS AD II VILA MARIANA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"AV. CECI, 2101",PLANALTO PAULISTA,04065-004,2275-3432,-46.646838,-23.62757201,Saúde
CAPS AD III ARMENIA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. PORTO SEGURO, 281",ARMENIA,01109-040,5198-8211,-46.62643,-23.52289402,Bom Retiro
CAPS AD III BORACEA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. ANHANGUERA, 282",BARRA FUNDA,01135-000,5242-3363,-46.652667,-23.52529902,Santa Cecília
CAPS AD III BUTANTÃ,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. MORISHIGUE AKAGUI, 77",VILA PROGREDIOR,05615-140,,-46.7155383,-23.58874722,Morumbi
CAPS AD III CACHOEIRINHA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. DESEMBARGADOR RODRIGUES SETTE, 111",CACHOEIRINHA,02634-070,2208-0076 / 2208-0097,-46.65071,-23.45817702,Cachoeirinha
CAPS AD III CAMPO LIMPO,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. DOMINGOS BICUDO, 385",CAMPO LIMPO,05786-080,5841-2388 / 5841-0472,-46.773996,-23.63613401,Campo Limpo
CAPS AD III CAPELA DO SOCORRO,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. LUIZ ROTTA, 300",JARDIM PANORAMA,04836-500,5667-6277,-46.703238,-23.71161202,Cidade Dutra
CAPS AD III CENTRO,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. FREDERICO ALVARENGA - 2º ANDAR, 259",PQ D. PEDRO II,01020-030,3214-2929,-46.628273,-23.55102502,Sé
CAPS AD III COMPLEXO PRATES,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. PRATES, 1101",BOM RETIRO,01009-000,5197-9592,-46.634461,-23.52365602,Bom Retiro
CAPS AD III FREGUESIA DO O/ BRASILÂNDIA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. OLINTO FRAGA MOREIRA, 275",BRASILANDIA,02845-050,3932-2683,-46.692283,-23.46955702,Brasilândia
CAPS AD III GRAJAU,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"RUA ENGENHEIRO GUARACY TORRES, 1253",SHANGRILA,04852-000,5528-0280,-46.65869,-23.76109382,Grajaú
CAPS AD III HELIOPOLIS,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"AV. ALMIRANTE DELAMARE, 3033",CIDADE NOVA HELIÓPOLIS,04230-040,2351-2309,-46.582312,-23.61072501,Ipiranga
CAPS AD III ITAQUERA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. BENEDITO COELHO NETTO, 163",ITAQUERA,08295-010,3756-3011,-46.460357,-23.54885402,Itaquera
CAPS AD III JARDIM ANGELA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. PADRE CLARO, 51",RIVIERA PAULISTA,04923-120,5517-7338,-46.779549,-23.71415602,Jardim Ângela
CAPS AD III JARDIM SÃO LUIZ,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. LUCIANO SILVA, 258",VILA DAS BELEZAS,05841-000,5851-9146,-46.7429079,-23.64598411,Jardim São Luís
CAPS AD III LEOPOLDINA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"AV. QUEIROZ FILHO, 399",VILA HAMBURGUESA,05319-000,,-46.724152,-23.53714801,Alto de Pinheiros
CAPS AD III PARAISOPOLIS,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. DR FLAVIO AMERICO MAURANO, 331",FAZENDA MORUMBI,05656-020,3779-3203,-46.7166778,-23.61272681,Vila Andrade
CAPS AD III PENHA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. ATUAÍ, 383",VILA ESPERANÇA,03646-000,2365-2223 / 2365-2224,-46.529594,-23.52518302,Penha
CAPS AD III PIRITUBA CASA AZUL,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. LINO PINTO DOS SANTOS, 203",JD DA FELICIDADE,05143-000,3835-2905,-46.727095,-23.49636402,Pirituba
CAPS AD III SANTANA,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"AV. LEONCIO DE MAGALHÃES, 226",JD SAO PAULO,02042-000,2950-0803 / 2950-0803,-46.615477,-23.49875502,Santana
CAPS AD III SÃO MATEUS,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. JOAQUIM GOUVEA FRANCO, 150",SÃO MATEUS,03961-020,2019-8143,-46.486511,-23.59927101,São Mateus
CAPS AD III SÃO MIGUEL,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"R. TAIUVINHA, 200",VILA JACUI,08060-040,2031-6956,-46.454831,-23.49869902,Vila Jacuí
CAPS AD IV REDENCAO,Centro de Atenção Psicossocial Álcool e Drogas,Municipal,"PRAÇA PRINCESA ISABEL, 75",CAMPOS ELISEOS,01206-010,4210-5421,-46.642781,-23.53700902,República
CAPS ADULTO II ARICANDUVA/FORMOSA,Centro de Atenção Psicossocial Adulto,Municipal,"R. BOICININGA, 31",VL SANTA ISABEL,03427-070,2092-5268,-46.537259,-23.55490801,Carrão
CAPS ADULTO II BUTANTA,Centro de Atenção Psicossocial Adulto,Municipal,"R. OSCAR PINHEIRO COELHO, 287",CAXINGUI,05516-050,3727-1819,-46.718981,-23.58229502,Butantã
CAPS ADULTO II CASA VERDE,Centro de Atenção Psicossocial Adulto,Municipal,"R. FERREIRA DE ALMEIDA, 22",CASA VERDE,02517-150,3858-3579,-46.667,-23.50842202,Casa Verde
CAPS ADULTO II CIDADE ADEMAR,Centro de Atenção Psicossocial Adulto,Municipal,"R. CONCEIÇÃO DA BOA VIAGEM, 216",BALNEARIO MAR PAULISTA,04463-030,5612-8313,-46.659479,-23.69438401,Pedreira
CAPS ADULTO II CIDADE TIRADENTES,Centro de Atenção Psicossocial Adulto,Municipal,"R. JUA MIRIM, 366",CIDADE TIRADENTES,08490-800,2558-6491 / 2558-6492,-46.419619,-23.58507202,José Bonifácio
