nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
AMA/UBS ÁGUA RASA - DR. MARCOS ANDRADE CORSATO,Unidade Básica de Saúde,Municipal,"R. SERRA DE JAIRE, 1480",ÁGUA RASA,03175-001,2605-5307,-46.58018,-23.55364002,Água Rasa
AMA/UBS AGUIA DE HAIA,Unidade Básica de Saúde,Municipal,"R. TANTAS PALAVRAS, 59",COHAB ÁGUIA DE HAIA,08223-510,3756-3264,-46.469253,-23.52204901,Itaquera
AMA/UBS AMERICANOPOLIS,Unidade Básica de Saúde,Municipal,"R. CIDADE DE SANTOS, 46",AMERICANÓPOLIS,04336-050,5562-1476,-46.644203,-23.66497401,Jabaquara
AMA/UBS ANHANGUERA,Unidade Básica de Saúde,Municipal,"R. MARCELA ALVES DE CASSIA, 175",JARDIM JARAGUÁ,05158-400,3904-8999,-46.759182,-23.48909902,São Domingos
AMA/UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,Unidade Básica de Saúde,Municipal,"AV. CANGAIBA, 3722",CANGAÍBA,03712-000,2621-6523,-46.520952,-23.50546702,Cangaíba
AMA/UBS CHACARA CRUZEIRO DO SUL - ZELIA L M DORO,Unidade Básica de Saúde,Municipal,"R. MERCEDES LOPES, 986",VILA SANTANA,03614-000,2641-5130,-46.53111,-23.51371201,Cangaíba
AMA/UBS DR. GERALDO DA SILVA FERREIRA,Unidade Básica de Saúde,Municipal,"AV. ENG ARMANDO DE ARRUDA PEREIRA, 2944",VILA DO ENCONTRO,04308-001,5588-2366,-46.637902,-23.65227402,Jabaquara
AMA/UBS ELISIO TEIXEIRA LEITE,Unidade Básica de Saúde,Municipal,"R. JOÃO AMADO COUTINHO, 400",JARAGUÁ,02815-000,3972-0333,-46.714341,-23.44630502,Jaraguá
AMA/UBS FAZENDA DO CARMO,Unidade Básica de Saúde,Municipal,"R. FRANCISCO CARDOSO JR., 10",CIDADE TIRADENTES,08421-105,2556-7600 / 2518-2152,-46.418376,-23.56516402,Cidade Tiradentes
AMA/UBS JARDIM ALFREDO,Unidade Básica de Saúde,Municipal,"R. DINAR, 51",JD ALFREDO,04913-120,5514-6355,-46.738937,-23.68171701,Jardim São Luís
AMA/UBS JARDIM BRASIL,Unidade Básica de Saúde,Municipal,"R. FRANCISCO PEIXOTO BEZERRA, 400",JARDIM BRASIL,02222-010,3475-8851,-46.576754,-23.48607402,Vila Medeiros
AMA/UBS JARDIM BRASILIA,Unidade Básica de Saúde,Municipal,"AV. OSVALDO VALLE CORDEIRO, 245",JD BRASILIA,03584-000,2741-6938 / 2743-9476,-46.491944,-23.55474702,Cidade Líder
AMA/UBS JARDIM CAPELA,Unidade Básica de Saúde,Municipal,"R. BARAO DE PAIVA MANSO, 200",JARDIM CAPELA,04960-110,5896-1143,-46.788771,-23.73048201,Jardim Ângela
AMA/UBS JARDIM CASTRO ALVES - DRA MARIA CRISTINA F,Unidade Básica de Saúde,Municipal,"AV. JOÃO PAULO BARRETO, 131",JD CASTRO ALVES,04842-150,5971-2157,-46.686385,-23.74254202,Grajaú
AMA/UBS JARDIM DA CONQUISTA III,Unidade Básica de Saúde,Municipal,"TRAVESSA SOMOS TODOS IGUAIS, 330",SÃO MATEUS,08343-000,2736-7092 / 2736-2079,-46.452813,-23.60892102,Iguatemi
AMA/UBS JARDIM DAS LARANJEIRAS,Unidade Básica de Saúde,Municipal,"R. BENTO GUELFI, 1100",JD DA LARANJEIRAS,08381-001,2731-7252,-46.43004,-23.60385802,Iguatemi
