nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
AMA 24H CAPÃO REDONDO,Assistência Médica Ambulatorial,Municipal,"AV. COMENDADOR SANTANA, 774",JD BOA ESPERANÇA,05866-000,5872-9917 / 5872-9919,-46.773638,-23.67512701,Capão Redondo
AMA 24H ENGENHEIRO GOULART - DR. JOSÉ PIRES,Assistência Médica Ambulatorial,Municipal,"R. AUGUSTO CORREIA LEITE, 538",ENG. GOULART,03726-100,2038-1626 / 2622-0366,-46.5172,-23.50031502,Cangaíba
AMA 24H JARDIM NORDESTE - DR. CARLOS NEDER,Assistência Médica Ambulatorial,Municipal,"R. NICOLO TARTAGLIA, 45",JD COIMBRA,03693-050,2280-6211,-46.479604,-23.53122502,Artur Alvim
AMA 24H JARDIM PIRAJUSSARA,Assistência Médica Ambulatorial,Municipal,"AV. AMADEU DA SILVA SAMELO, 423",JD MARTINICA,05760-140,5844-7937,-46.766154,-23.63152801,Campo Limpo
AMA 24H JOSE BONIFACIO - ITAQUERA,Assistência Médica Ambulatorial,Municipal,"R. SILVIO BARBINI, 40",ITAQUERA,08250-650,2944-6086,-46.439289,-23.54046202,José Bonifácio
AMA 24H PARAISOPOLIS,Assistência Médica Ambulatorial,Municipal,"R. SILVEIRA SAMPAIO, 660",JD MORUMBI,05656-010,3742-5394,-46.719822,-23.61707302,Vila Andrade
AMA 24H PARQUE FIGUEIRA GRANDE,Assistência Médica Ambulatorial,Municipal,"R. DANIEL KLEIN, 211",PQ FIGUEIRA GRANDE,04915-170,5515-7070,-46.74906,-23.67927002,Jardim São Luís
AMA 24H PARQUE NOVO SANTO AMARO,Assistência Médica Ambulatorial,Municipal,"R. PORTA DO PRADO, 18",PARQUE NOVO SANTO AMARO,05874-130,5898-5656,-46.780897,-23.69901502,Jardim Ângela
AMA 24H SAPOPEMBA,Assistência Médica Ambulatorial,Municipal,"R. JOÃO LOPES DE LIMA, 1151",JD SAPOPEMBA,03976-020,2018-5674,-46.492935,-23.61164702,Sapopemba
AMA 24H SÉ,Assistência Médica Ambulatorial,Municipal,"R. FREDERICO ALVARENGA, 259",SE,01020-030,4210-5398,-46.628102,-23.55124401,Sé
AMA 24H SOROCABANA,Assistência Médica Ambulatorial,Municipal,"R. CATÃO, 380",VILA ROMANA,05042-000,3879-3090,-46.700669,-23.52441501,Lapa
PA MUNICIPAL DRA GLÓRIA RODRIGUES DOS SANTOS BONFIM,Pronto Atendimento,Municipal,"AV. DOS METALURGICOS, 2820",CIDADE TIRADENTES,08471-004,2558-3252,-46.397948,-23.60362402,Cidade Tiradentes
