nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
CCZ - CENTRO DE CONTROLE DE ZOONOSES - SANTANA,Laboratório de Zoonoses,Municipal,"R. SANTA EULÁLIA, 86",SANTANA,02031-020,2224-5500,-46.628054,-23.51201701,Santana
CENTRO DE CONTROLE DE INTOXICACOES MUNICIPAL- CCI,SEM TIPO,Municipal,"AV. FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860",VILA CAMPESTRE,04330-020,5012-5311 / 5012-2399,-46.645403,-23.65338302,Jabaquara
CR ST ANDRÉ GRABOIS,Centro de Referência de Sáude do Trabalhador,Municipal,"R. FREDERICO ALVARENGA, 259 - 5º AND",PQ D. PEDRO II,01020-030,3241-0418,-46.628201,-23.55102402,Sé
CR ST FREGUESIA DO Ó,Centro de Referência de Sáude do Trabalhador,Municipal,"AV. MIGUEL CONEJO, 1115",FREGUESIA DO O,02731-060,3975-0707,-46.69217532,-23.49374298,Freguesia do Ó
CR ST LAPA,Centro de Referência de Sáude do Trabalhador,Municipal,"R. BARÃO DO BANANAL, 1301",VILA POMPÉIA,05024-000,3864-0382,-46.689435,-23.53473302,Perdizes
CR ST LESTE,Centro de Referência de Sáude do Trabalhador,Municipal,"R. BARROS CASSAL, 71",ITAQUERA,08210-180,2074-6092 / 2074-6092,-46.45583917,-23.53950231,Itaquera
CR ST MOOCA,Centro de Referência de Sáude do Trabalhador,Municipal,"PRAÇA CIRO PONTES, S/Nº",MOOCA,03166-030,2604-7207,-46.599047,-23.55223902,Mooca
CR ST SANTO AMARO,Centro de Referência de Sáude do Trabalhador,Municipal,"AV. ADOLFO PINHEIRO, 581",SANTO AMARO,04733-100,5523-5382,-46.693923,-23.63575701,Santo Amaro
LABORATÓRIO MUNICIPAL DE ANÁLISES TOXICOLÓGICAS MUNICIPAL,SEM TIPO,Municipal,"AV. FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860",VILA CAMPESTRE,04330-020,,-46.645403,-23.65338302,Jabaquara
LABORATORIO MUNICIPAL DE SAÚDE PÚBLICA DE CONTROLE DE QUALIDADE EM SAUDE,Supervisão de Vigilância em Saúde,Municipal,"AV. GUILHERME, 82",V GUILHERME,02053-000,3397-8721,-46.6094,-23.52201802,Vila Guilherme
LABORATÓRIO MUNICIPAL DE ZOONOSES E DOENÇAS TRANSMITIDAS POR VETORES,Laboratório de Zoonoses,Municipal,"R. SANTA EULÁLIA, 86",SANTANA,02031-020,,-46.627646,-23.51201601,Santana
UVIS ARICANDUVA MOOCA,Supervisão de Vigilância em Saúde,Municipal,"AV. SALIM FARAH MALUF, 4236",QUARTA PARADA,03304-090,2227-2143 / 2227-2147,-46.575035,-23.56642801,Água Rasa
UVIS BUTANTÃ,Supervisão de Vigilância em Saúde,Municipal,"AV. CAXINGUI, 658",BUTANTÃ,05579-001,3721-2227,-46.712203,-23.57506502,Butantã
UVIS CAMPO LIMPO,Supervisão de Vigilância em Saúde,Municipal,"AV. COMENDADOS SANT ANNA, 676",CAPAO REDONDO,05866-000,5814-8805,-46.773488,-23.67298602,Capão Redondo
UVIS CAPELA DO SOCORRO,Supervisão de Vigilância em Saúde,Municipal,"R. JACINTO JULIO, 589",JARDIM SATÉLITE,04815-160,5667-5468 / 5667-5523,-46.691571,-23.70276702,Cidade Dutra
UVIS CASA VERDE/CACHOEIRINHA,Supervisão de Vigilância em Saúde,Municipal,"AV. JOÃO MARCELINO BRANCO, 21",VILA NOVA CACHOEIRINHA,02610-000,3851-5524,-46.666538,-23.50855301,Casa Verde
UVIS CIDADE TIRADENTES,Supervisão de Vigilância em Saúde,Municipal,"R. MANUEL MOSCOSO, 15",CIDADE TIRADENTES,08470-570,2282-4166 / 2285-5011,-46.395387,-23.59679701,Cidade Tiradentes
UVIS ERMELINO MATARAZZO,Supervisão de Vigilância em Saúde,Municipal,"AV. SÃO MIGUEL, 5977",ERMELINO MATARAZZO,08070-002,2042-6018,-46.476021,-23.50573702,Ermelino Matarazzo
UVIS FREGUESIA DO Ó/ BRASILÂNDIA,Supervisão de Vigilância em Saúde,Municipal,"R. CHICO DE PAULA, 238",FREGUESIA DO Ó,02926-000,3935-5000,-46.700816,-23.49969902,Freguesia do Ó
UVIS GUAIANASES,Supervisão de Vigilância em Saúde,Municipal,"RUA PROF FRANCISCO PINHEIRO, 179",VILA LOURDES,08410-020,2552-6122,-46.413509,-23.54459302,Guaianases
UVIS IPIRANGA,Supervisão de Vigilância em Saúde,Municipal,"AV. NAZARÉ, 256",IPIRANGA,04262-000,2272-7220,-46.610977,-23.58606302,Ipiranga
UVIS ITAIM PAULISTA,Supervisão de Vigilância em Saúde,Municipal,"R. ERERÊ, 260",VILA CURUÇÁ,08030-400,2035-2031,-46.424332,-23.50174402,Vila Curuçá
UVIS ITAQUERA,Supervisão de Vigilância em Saúde,Municipal,"AV. PROF. JOÃO BATISTA CONTI, 829 (ANTIGO 331)",CJ JOSE BONIFÁCIO - COHAB II,08255-210,2523-5405 / 2523-5406,-46.433755,-23.55204002,José Bonifácio
UVIS JAÇANÃ/TREMEMBÉ,Supervisão de Vigilância em Saúde,Municipal,"R. MARIA AMALIA LOPES DE AZEVEDO, 3676",VILA ALBERTINA,02350-002,2243-3915 / 2240-6868,-46.59162636,-23.4564747,Tremembé
UVIS LAPA/PINHEIROS,Supervisão de Vigilância em Saúde,Municipal,"R. SUMIDOURO, 706",PINHEIROS,05428-010,3073-1750,-46.7023625,-23.56487002,Pinheiros
UVIS M BOI MIRIM,Supervisão de Vigilância em Saúde,Municipal,"R. BALDOMERO CARQUEJA, 60",VILA PREL,05780-260,5511-8000,-46.7378098,-23.64298912,Jardim São Luís
UVIS PARELHEIROS,Supervisão de Vigilância em Saúde,Municipal,"R. CRISTINA SCHUNCK KLEIN, 23",PARELHEIROS,04890-350,5921-6910 / 5926-3797,-46.732056,-23.82902401,Parelheiros
UVIS PENHA,Supervisão de Vigilância em Saúde,Municipal,"R. CANDAPUI, 492",PENHA,03621-000,2791-1577 / 3397-5217,-46.521342,-23.51881002,Penha
UVIS PERUS,Supervisão de Vigilância em Saúde,Municipal,"R. ANTONIO JOSE ANACLETO, 80",PERUS,05201-070,3915-6100,-46.738348,-23.40381002,Perus
UVIS PIRITUBA,Supervisão de Vigilância em Saúde,Municipal,"R. URATINGA, 90",VILA PALMEIRAS,02933-140,3978-7745,-46.713512,-23.49424401,Pirituba
UVIS SANTA CECILIA,Supervisão de Vigilância em Saúde,Municipal,"R. DR ALBUQUERQUE LINS, 40",SANTA CECÍLIA,01230-000,3242-5662 / 3242-2132,-46.653267,-23.53155001,Santa Cecília
UVIS SANTANA/TUCURUVI,Supervisão de Vigilância em Saúde,Municipal,"R. VOLUNTARIOS DA PATRIA, 3063",SANTANA,02401-200,2221-5505,-46.626409,-23.49315801,Santana
UVIS SANTO AMARO/CIDADE ADEMAR,Supervisão de Vigilância em Saúde,Municipal,"R. MARIA CUOFONO SALZANO, 185",JD. SANTO AGOSTINHO,04368-060,5565-7717,-46.666971,-23.65533801,Cidade Ademar
UVIS SAO MATEUS,Supervisão de Vigilância em Saúde,Municipal,"AV. RAGUEB CHOHF, 1400",SÃO MATEUS,08375-000,2013-1139 / 2013-2983,-46.468528,-23.59908101,São Mateus
UVIS SAO MIGUEL,Supervisão de Vigilância em Saúde,Municipal,"R. ENGENHEIRO MANUEL OSORIO, 25",SAO MIGUEL PAULISTA,08010-160,2297-0258,-46.437651,-23.49641501,São Miguel
UVIS SE,Supervisão de Vigilância em Saúde,Municipal,"R. FREDERICO ALVARENGA, 259",SE,01020-030,,-46.628234,-23.55105701,Sé
UVIS VILA MARIA VILA GUILHERME,Supervisão de Vigilância em Saúde,Municipal,"AV. GUILHERME, 82",VILA GUILHERME,02053-000,2905-2687 / 2905-2634,-46.607274,-23.52162302,Vila Guilherme
